FID_1,FREQUENCY,AGG,AGGLAT,AGGLONG,ERA,SLOPE,REGION,Rowid,X,Y,SRTMv4,H_BIO_1,C_BIO_1,H_BIO_12,C_BIO_12,H_BIO_5,C_BIO_5,H_BIO_6,C_BIO_6,nr_elv_b1,nr_elv_b12,nr_elv_b5,nr_elv_b6
0,2,AspenValley1,37.827725,-119.771211,H,W,YO,1,20111.65974,-20946.86892,1877.717895,825,872,105295.2422,118258.5859,2545.194335,2508.554443,-637.016296,-456.249237,2033.907895,1707.633232,1304.822109,1596.163952
1,1,AV1,37.82534,-119.77221,M,W,YO,2,20024.48494,-21212.21261,1871.608154,825,872,105295.2422,118258.5859,2545.194335,2508.554443,-637.016296,-456.249237,2033.907895,1707.633232,1304.822109,1596.163952
2,1,BC1,37.90028,-119.12977,M,E,YO,3,76419.22772,-12554.70008,2199.141113,662,766,44572.57031,45573.78125,2701.408203,2718.365478,-1032.164794,-827.06903,2323.047959,1075.584178,1469.688418,1784.711885
3,2,Ca1,37.72315,-119.712003,M,W,YO,4,25351.33693,-32557.89204,1044.115356,1188,1246,88373.69531,98367.64063,3076.51831,3025.791503,-311.78598,-87.101142,1391.842105,1541.575481,2509.17193,2074.937788
4,2,Cascade1,37.725765,-119.710935,H,W,YO,5,25444.4583,-32266.90682,1101.10083,1188,1246,88373.69531,98367.64063,3076.51831,3025.791503,-311.78598,-87.101142,1391.842105,1541.575481,2509.17193,2074.937788
5,3,CascadeCreek1,37.738698,-119.702903,H,W,YO,6,26146.9225,-30827.01117,1817.400512,917,998,94776.00781,106845.1484,2610.909423,2576.416992,-472.654724,-250.170059,1936.238579,1435.510121,1315.752857,1817.847087
6,1,CF1,37.75331,-119.8089,M,W,YO,7,16815.47997,-29226.66484,1955.519165,910,983,94595.10156,107195.7969,2407.164062,2380.87622,-326.280029,-134.13533,1950.527919,1431.95749,1545.849234,2083.672037
7,8,CF2,37.752878,-119.797693,M,W,YO,8,17801.65334,-29272.64284,1879.041259,905,978,94124.69531,107080.9688,2396.705566,2369.453857,-342.316162,-144.670043,1958.259898,1406.325911,1509.095683,2052.359447
8,8,CF3,37.75775,-119.7699,M,W,YO,9,20245.77597,-28725.46365,2096.169189,796,865,94345.92188,108226.4922,2342.508789,2310.65332,-511.919982,-312.848968,2093.767276,1419.827935,1487.55257,1704.259524
9,3,Ch1,37.685987,-119.724393,M,W,YO,10,24272.7514,-36692.39383,1095.878662,1305,1351,89972.71875,99329.64063,3212.302001,3176.473144,-190.678009,43.678108,1082.346154,1493.271255,2619.405337,2312.288732
