"FID_1","FREQUENCY","AGG","AGGLAT","AGGLONG","ERA","SLOPE","REGION","Rowid","X","Y","SRTMv4","H_BIO_1","C_BIO_1","H_BIO_12","C_BIO_12","H_BIO_5","C_BIO_5","H_BIO_6","C_BIO_6","nr_elv_b1","nr_elv_b12","nr_elv_b5","nr_elv_b6"
49,5,"LAHistoricBattleCreek",40.37479,-122.18016,"H","W","LA",50,-185109.5797,264214.9898,110.369949,1596,1624,57246.00781,72427.82031,3654.173828,3615.699218,118.561851,226.179,2033.90789473684,1707.63323201621,1304.82210927573,1596.16395222584
50,7,"LAHistoricBlackButte",40.4147,-121.5319,"H","W","LA",51,-130002.0043,267569.0251,1979.420043,651,614,206215.3906,237624.9531,2461.356689,2425.641845,-649.260131,-620.035217,2033.90789473684,1707.63323201621,1304.82210927573,1596.16395222584
51,5,"LAHistoricButteLake",40.5642,-121.302391,"H","W","LA",52,-110298.2466,283877.5852,1854.439331,616,614,77267.03906,91693.10156,2644.942138,2599.085205,-848.830688,-715.000122,2323.04795918367,1075.58417849899,1469.68841761827,1784.7118847539
52,10,"LAHistoricDalesPayneCreek",40.3146,-122.0695,"H","W","LA",53,-175861.2121,257321.3891,186.013916,1655,1684,62558.10547,78115.26563,3669.655761,3626.761718,191.375427,311.126892,1391.84210526316,1541.57548125633,2509.17192982456,2074.93778801843
53,1,"LAHistoricEagleLake1",40.73439,-120.719636,"H","W","LA",54,-60802.68776,302246.8632,1582.611816,721,738,38722.875,41795.75781,2909.644775,2884.053955,-963.455932,-764.076171,1391.84210526316,1541.57548125633,2509.17192982456,2074.93778801843
54,5,"LAHistoricEagleLake2",40.670943,-120.789583,"H","W","LA",55,-66771.21428,295249.9978,1564.38684,742,761,43664.46875,47582.35938,2956.384765,2918.191894,-947.717407,-750.887817,1936.2385786802,1435.51012145749,1315.75285714286,1817.84708737864
55,3,"LAHistoricEagleLake3",40.572925,-120.838016,"H","W","LA",56,-70963.11884,284402.4128,1561.768676,750,763,59525.88672,69248.63281,2967.443603,2938.422363,-942.762145,-753.515075,1950.52791878173,1431.95748987854,1545.8492343934,2083.67203682394
56,3,"LAHistoricERavendale",40.79823,-120.23207,"H","E","LA",57,-19589.8652,309127.4349,1620.82788,733,765,25050.84375,27536.79688,2958.756347,2951.580078,-1008.150512,-781.388793,1958.25989847716,1406.32591093117,1509.09568261377,2052.35944700461
57,2,"LAHistoricGrasshopperValley",40.850087,-120.756895,"H","E","LA",58,-63848.18855,315115.04,1628.009643,686,719,34165.5,37138.65234,2898.747314,2873.998046,-1010.164062,-774.467163,2093.76727642276,1419.82793522267,1487.55257009346,1704.25952380952
58,6,"LAHistoricHotSpringValley",40.44423,-121.3938,"H","W","LA",59,-118234.9673,270667.1731,1772.984619,643,641,143176.8281,163015.625,2687.598144,2636.817871,-801.199523,-683.906066,1082.34615384615,1493.27125506073,2619.40533672173,2312.28873239437
59,3,"LAHistoricKellys2",40.432678,-121.352069,"H","W","LA",60,-114713.4634,269333.1898,1607.001708,679,687,105720.4766,122672.9688,2829.58789,2774.519287,-961.345886,-785.451599,1856.54056795132,1629.23577235772,1295.40833333333,1952.3839811543
60,2,"LAHistoricLakeHelen",40.469128,-121.518495,"H","W","LA",61,-128767.698,273594.1629,2475.800048,332,312,254302.6875,292500.5938,2085.33374,2049.760498,-904.480407,-898.280822,665.53036437247,1387.34923857868,2262.31712062257,2257.76639344262
