FID_1,FREQUENCY,AGG,AGGLAT,AGGLONG,ERA,SLOPE,REGION,Rowid,X,Y,SRTMv4,H_BIO_1,C_BIO_1,H_BIO_12,C_BIO_12,H_BIO_5,C_BIO_5,H_BIO_6,C_BIO_6
49,5,LAHistoricBattleCreek,40.37479,-122.18016,H,W,LA,50,-185109.5797,264214.9898,110.369949,1596,1624,57246.00781,72427.82031,3654.173828,3615.699218,118.561851,226.179
50,7,LAHistoricBlackButte,40.4147,-121.5319,H,W,LA,51,-130002.0043,267569.0251,1979.420043,651,614,206215.3906,237624.9531,2461.356689,2425.641845,-649.260131,-620.035217
51,5,LAHistoricButteLake,40.5642,-121.302391,H,W,LA,52,-110298.2466,283877.5852,1854.439331,616,614,77267.03906,91693.10156,2644.942138,2599.085205,-848.830688,-715.000122
52,10,LAHistoricDalesPayneCreek,40.3146,-122.0695,H,W,LA,53,-175861.2121,257321.3891,186.013916,1655,1684,62558.10547,78115.26563,3669.655761,3626.761718,191.375427,311.126892
53,1,LAHistoricEagleLake1,40.73439,-120.719636,H,W,LA,54,-60802.68776,302246.8632,1582.611816,721,738,38722.875,41795.75781,2909.644775,2884.053955,-963.455932,-764.076171
54,5,LAHistoricEagleLake2,40.670943,-120.789583,H,W,LA,55,-66771.21428,295249.9978,1564.38684,742,761,43664.46875,47582.35938,2956.384765,2918.191894,-947.717407,-750.887817
55,3,LAHistoricEagleLake3,40.572925,-120.838016,H,W,LA,56,-70963.11884,284402.4128,1561.768676,750,763,59525.88672,69248.63281,2967.443603,2938.422363,-942.762145,-753.515075
56,3,LAHistoricERavendale,40.79823,-120.23207,H,E,LA,57,-19589.8652,309127.4349,1620.82788,733,765,25050.84375,27536.79688,2958.756347,2951.580078,-1008.150512,-781.388793
57,2,LAHistoricGrasshopperValley,40.850087,-120.756895,H,E,LA,58,-63848.18855,315115.04,1628.009643,686,719,34165.5,37138.65234,2898.747314,2873.998046,-1010.164062,-774.467163
58,6,LAHistoricHotSpringValley,40.44423,-121.3938,H,W,LA,59,-118234.9673,270667.1731,1772.984619,643,641,143176.8281,163015.625,2687.598144,2636.817871,-801.199523,-683.906066
59,3,LAHistoricKellys2,40.432678,-121.352069,H,W,LA,60,-114713.4634,269333.1898,1607.001708,679,687,105720.4766,122672.9688,2829.58789,2774.519287,-961.345886,-785.451599
60,2,LAHistoricLakeHelen,40.469128,-121.518495,H,W,LA,61,-128767.698,273594.1629,2475.800048,332,312,254302.6875,292500.5938,2085.33374,2049.760498,-904.480407,-898.280822
61,10,LAHistoricLymans,40.3096,-121.7678,H,W,LA,62,-150236.8755,256247.3364,1050.525268,1283,1285,81032.89063,95780.53906,3209.805175,3183.52124,-24.084835,63.779815
62,3,LAHistoricManton,40.425439,-121.889271,H,W,LA,63,-160302.5298,269308.5582,564.411132,1534,1579,72116.85156,87320.69531,3557.284179,3536.480224,93.893226,250.279617
63,2,LAHistoricManzanitaLake,40.5314,-121.5648,H,W,LA,64,-132579.8995,280572.0166,1790.466796,662,639,90251.01563,103491.7188,2636.748535,2605.633544,-760.955078,-689.962341
64,2,LAHistoricMineral3,40.337764,-121.596129,H,W,LA,65,-135596.0647,259115.9697,1477.66333,820,771,121032.0078,141133.5938,2821.105224,2783.10791,-538.154113,-519.451843
65,7,LAHistoricMineralSummitCreek1,40.3489,-121.5878,H,W,LA,66,-134867.8396,260340.6648,1514.352294,785,737,121880.2891,142052.5469,2780.557861,2741.848876,-583.641967,-564.442443
66,4,LAHistoricMineralSummitCreek2,40.3628,-121.5663,H,W,LA,67,-133016.2786,261853.777,1550.079345,728,684,126082.2031,146783.1563,2744.924072,2706.152099,-654.673706,-628.226684
67,4,LAHistoricNFredonyerPeak,40.801001,-120.61175,H,E,LA,68,-51639.55816,309577.6822,1711.364379,694,707,31514.58203,33389.92969,2843.318359,2823.207519,-881.965332,-710.188415
68,4,LAHistoricNObservationPeak1,40.86135,-120.17049,H,E,LA,69,-14378.78553,316123.3842,1628.222045,734,766,25371.58008,28893.19336,2944.365478,2937.230712,-1003.844909,-773.414062
69,6,LAHistoricPetesValley,40.52927,-120.46209,H,E,LA,70,-39153.21825,279336.7801,1381.582763,913,919,30602.96484,31529.16797,3141.628173,3122.380615,-803.565856,-654.644287
70,4,LAHistoricRedBluff1,40.1339,-122.2061,H,W,LA,71,-187934.1705,237518.3944,91.571395,1682,1701,51736.14844,66096.82031,3722.461425,3628.425048,195.802505,309.98114
71,1,LAHistoricRedBluff2,40.24038,-122.110955,H,W,LA,72,-179566.9292,249157.8915,230.262832,1605,1643,63642.07422,79460.10156,3612.298828,3557.201416,152.790039,304.694152
72,2,LAHistoricRedBluff3,40.1707,-122.1254,H,W,LA,73,-180968.9713,241447.8867,89.825149,1676,1698,53572.875,68118.57813,3714.334472,3629.450439,184.806869,304.1315
73,11,LAHistoricRedBluff4,40.190329,-122.225207,H,W,LA,74,-189414.4826,243822.5161,83.213935,1682,1701,53293.56641,68032.03906,3705.349853,3624.790771,185.771316,296.939636
74,1,LAHistoricRedBluff5,40.212178,-122.229766,H,W,LA,75,-189745.416,246257.7529,89.268058,1682,1701,55690.40234,70461.83594,3695.548583,3618.773925,185.864425,299.493804
75,2,LAHistoricRedBluff6,40.322164,-122.285572,H,W,LA,76,-194198.9776,258582.9251,176.98439,1643,1672,66610.51563,82697.35156,3671.539062,3634.43457,165.527511,283.589538
76,2,LAHistoricSWRavendale,40.6969,-120.409,H,E,LA,77,-34574.47295,297928.4338,1716.792724,736,748,32251.88281,33906.92578,2863.236816,2848.0708,-829.146789,-662.239257
77,4,LAHistoricTermo,40.8915,-120.4564,H,E,LA,78,-38477.49651,319549.891,1630.919677,659,706,23811.74023,25182.82031,2961.351318,2949.612792,-1100.660644,-871.301757
78,1,LAHistoricTurners,40.30825,-121.738116,H,W,LA,79,-147717.189,256050.7845,1146.906127,1223,1228,84921.22656,99915.85156,3139.116699,3111.663085,-74.89286,24.721372
79,1,LAHistoricWarnerCreek1,40.459693,-121.441843,H,W,LA,80,-122284.0339,272445.0688,2084.836669,598,564,232992.625,262335.5625,2449.193115,2402.611083,-741.84082,-695.085876
80,4,LAHistoricWarnerCreek2,40.463512,-121.471967,H,W,LA,81,-124832.1142,272908.3696,2261.664794,511,475,248862.9844,282762.2813,2265.964355,2222.392822,-733.904296,-737.427062
81,7,LAHistoricWillowLake,40.405237,-121.365727,H,W,LA,82,-115916.0755,266302.7414,1653.95227,690,688,123663.5547,141138.3906,2745.626708,2690.129394,-779.737304,-635.958129
82,3,LAHistoricWRedRockPO,40.8995,-120.25399,H,E,LA,83,-21410.19638,320373.9836,1623.17749,689,738,24660.64063,27328.41602,2952.218017,2941.289306,-1054.175781,-796.367492
83,5,LAModernBaileyCreek,40.805722,-120.610026,M,E,LA,84,-51490.65714,310100.8287,1731.012939,702,719,30850.56836,32588.73438,2862.461669,2842.757812,-912.291503,-717.161621
84,2,LAModernBattleCreek,40.34945,-121.631705,M,W,LA,85,-138595.7498,260465.0576,1495.393432,835,787,123398.1172,142794.1719,2786.009277,2750.880371,-497.733764,-477.022247
85,2,LAModernBattleCreekMeadows,40.33948,-121.609185,M,W,LA,86,-136701.8806,259325.269,1468.201049,820,772,121347.8672,141089.4688,2824.046142,2786.805664,-534.630615,-514.218505
86,4,LAModernBluffFalls,40.412202,-121.531905,M,W,LA,87,-130006.9107,267291.6594,1974.907714,651,614,206215.3906,237624.9531,2461.356689,2425.641845,-649.260131,-620.035217
87,2,LAModernButteLake,40.562405,-121.29966,M,W,LA,88,-110069.7051,283675.1166,1849.016723,616,614,77267.03906,91693.10156,2644.942138,2599.085205,-848.830688,-715.000122
