sp	shift	reg	limit	zone	shift	B1	B5	B6	B12	Null
Callospermophiluslateralis	1	Yosemite	lower	H	UP	up	up	down	down	up
Marmotaflaviventris	1	Lassen	upper	H	UP	down	up	down	micro	up
Microtuslongicaudus	0	Lassen	lower	H	DOWN	up	up	micro	down	up
Microtuslongicaudus	1	Sequoia	lower	H	UP	up	up	up	up	up
Microtuslongicaudus	1	Yosemite	lower	H	UP	up	down	up	up	up
Microtusmontanus	1	Lassen	lower	H	UP	down	up	down	down	up
Neotomacinerea	1	Lassen	lower	H	UP	up	up	up	down	up
Neotomacinerea	0	Lassen	upper	H	DOWN	micro	micro	down	micro	up
Neotomacinerea	1	Yosemite	lower	H	UP	up	up	up	down	up
Neotomacinerea	0	Yosemite	upper	H	DOWN	micro	down	micro	down	up
Sorexmonticolus	0	Yosemite	lower	H	DOWN	up	down	up	down	up
Sorexpalustris	0	Lassen	lower	H	DOWN	up	up	up	down	up
Sorexpalustris	0	Lassen	upper	H	DOWN	micro	micro	down	micro	up
Sorexpalustris	1	Sequoia	lower	H	UP	up	up	up	down	up
Sorexpalustris	1	Yosemite	lower	H	UP	up	up	down	down	up
Tamiasalpinus	1	Sequoia	lower	H	UP	up	up	up	down	up
Tamiasalpinus	1	Yosemite	lower	H	UP	up	up	micro	down	up
Tamiasciurusdouglasi	1	Lassen	upper	H	UP	down	down	down	micro	up
Tamiassenex	1	Yosemite	lower	H	UP	up	up	up	down	up
Tamiassenex	0	Yosemite	upper	H	DOWN	up	up	micro	down	up
Tamiasspeciosus	1	Lassen	lower	H	UP	up	up	up	down	up
Tamiasspeciosus	1	Sequoia	lower	H	UP	up	up	up	up	up
Urocitellusbeldingi	0	Lassen	upper	H	DOWN	up	down	down	down	up
Urocitellusbeldingi	1	Sequoia	lower	H	UP	up	up	up	down	up
Urocitellusbeldingi	1	Yosemite	lower	H	UP	up	up	micro	down	up
Zapusprinceps	1	Lassen	lower	H	UP	up	up	up	down	up
Zapusprinceps	1	Sequoia	lower	H	UP	up	up	up	up	up
Zapusprinceps	1	Sequoia	upper	H	UP	up	up	up	down	up
Zapusprinceps	1	Yosemite	lower	H	UP	up	down	up	up	up
Chaetodipuscalifornicus	1	Sequoia	upper	L	UP	up	up	down	down	up
Chaetodipuscalifornicus	1	Yosemite	upper	L	UP	up	down	up	up	up
Dipodomysagilis	1	Sequoia	upper	L	UP	up	down	up	down	up
Dipodomysheermanni	0	Yosemite	upper	L	DOWN	up	down	up	up	up
Microtuscalifornicus	1	Sequoia	lower	L	UP	up	up	up	up	up
Neotomafuscipes	1	Lassen	upper	L	UP	up	down	up	up	up
Neotomamacrotis	1	Sequoia	upper	L	UP	up	up	down	down	up
Peromyscusboylii	0	Sequoia	upper	L	DOWN	up	down	up	down	up
Peromyscustruei	1	Lassen	lower	L	UP	up	up	up	up	up
Peromyscustruei	1	Lassen	upper	L	UP	down	down	up	down	up
Peromyscustruei	0	Sequoia	upper	L	DOWN	up	down	up	down	up
Peromyscustruei	1	Yosemite	lower	L	UP	down	up	up	up	up
Peromyscustruei	1	Yosemite	upper	L	UP	up	down	up	down	up
Reithrodontomysmegalotis	0	Lassen	upper	L	DOWN	up	down	micro	down	up
Reithrodontomysmegalotis	0	Sequoia	upper	L	DOWN	up	down	up	down	up
Reithrodontomysmegalotis	1	Yosemite	upper	L	UP	up	down	up	up	up
Sciurusgriseus	1	Lassen	upper	L	UP	up	down	up	up	up
Sciurusgriseus	1	Sequoia	lower	L	UP	up	down	up	up	up
Sciurusgriseus	0	Sequoia	upper	L	DOWN	down	down	down	up	up
Sorexornatus	1	Sequoia	upper	L	UP	up	up	up	up	up
Sorexornatus	0	Yosemite	lower	L	DOWN	up	down	up	up	up
Otospermophilusbeecheyi	1	Lassen	upper	W	UP	down	up	down	down	up
