"presence","aggname","species","LAT","LONG_","UID","AGGNAME_1","LAT_1","LONG_1","REGION","MASK","X","Y","SRTMV4","BIO1_PRDCT","BIO12_PRDCT","Same","Elev_Temp","Elev_Precip"
1,"AspenValley1","Callospermophiluslateralis",37.827725,-119.771211,1,"AspenValley1",0.000000,0.000000,"YO",0,20110.532530,-20946.300020,1875.134000,1,-1,0,"Temp Up","Precip Down"
1,"CF3","Callospermophiluslateralis",37.757750,-119.769900,8,"CF3",0.000000,0.000000,"YO",7,20244.648430,-28724.895480,2096.169000,-1,-1,-1,"Temp Down","Precip Down"
1,"Ch1","Callospermophiluslateralis",37.685987,-119.724393,9,"Ch1",0.000000,0.000000,"YO",8,24271.623880,-36691.826580,1104.616000,-1,-1,-1,"Temp Down","Precip Down"
1,"Chinquapin1","Callospermophiluslateralis",37.652364,-119.702601,10,"Chinquapin1",0.000000,0.000000,"YO",9,26202.478170,-40423.749880,1844.729000,1,-1,0,"Temp Up","Precip Down"
1,"FD1","Callospermophiluslateralis",37.876490,-119.416090,31,"FD1",0.000000,0.000000,"YO",30,51291.974680,-15391.560450,2553.576000,1,-1,0,"Temp Up","Precip Down"
1,"GA1","Callospermophiluslateralis",37.911700,-119.424950,35,"GA1",0.000000,0.000000,"YO",34,50489.960970,-11482.202040,2371.780000,1,-1,0,"Temp Up","Precip Down"
1,"GlenAulin1","Callospermophiluslateralis",37.912060,-119.421350,37,"GlenAulin1",0.000000,0.000000,"YO",36,50805.796380,-11440.259530,2383.204000,1,-1,0,"Temp Up","Precip Down"
1,"IndianCanyon1","Callospermophiluslateralis",37.774320,-119.569020,43,"IndianCanyon1",0.000000,0.000000,"YO",42,37909.997220,-26821.264050,2195.465000,-1,-1,-1,"Temp Down","Precip Down"
1,"JR1","Callospermophiluslateralis",37.883580,-119.363400,44,"JR1",0.000000,0.000000,"YO",43,55915.024520,-14573.612980,2684.932000,1,-1,0,"Temp Up","Precip Down"
1,"KM1","Callospermophiluslateralis",38.122007,-119.481950,45,"KM1",0.000000,0.000000,"YO",44,45357.610170,11867.696370,2867.498000,1,-1,0,"Temp Up","Precip Down"
1,"LAHistoricBlackButte","Callospermophiluslateralis",40.414700,-121.531900,48,"LAHistoricBlackButte",0.000000,0.000000,"LA",47,-130003.133700,267569.623800,1979.420000,-1,-1,-1,"Temp Down","Precip Down"
1,"LAHistoricEagleLake3","Callospermophiluslateralis",40.568100,-120.837100,53,"LAHistoricEagleLake3",0.000000,0.000000,"LA",52,-70891.406970,283866.590700,1562.097000,1,-1,0,"Temp Up","Precip Down"
1,"LAHistoricHotSpringValley","Callospermophiluslateralis",40.442300,-121.393800,54,"LAHistoricHotSpringValley",0.000000,0.000000,"LA",53,-118239.246300,270453.469100,1727.630000,1,-1,0,"Temp Up","Precip Down"
1,"LAHistoricLakeHelen","Callospermophiluslateralis",40.468700,-121.515100,56,"LAHistoricLakeHelen",0.000000,0.000000,"LA",55,-128481.714100,273542.633900,2503.896000,-1,-1,-1,"Temp Down","Precip Down"
1,"LAHistoricMineralSummitCreek2","Callospermophiluslateralis",40.362800,-121.566300,63,"LAHistoricMineralSummitCreek2",0.000000,0.000000,"LA",62,-133017.408400,261854.375300,1546.531000,1,-1,0,"Temp Up","Precip Down"
1,"LAHistoricWarnerCreek2","Callospermophiluslateralis",40.467900,-121.492100,71,"LAHistoricWarnerCreek2",0.000000,0.000000,"LA",70,-126532.855700,273422.874800,2443.283000,-1,-1,-1,"Temp Down","Precip Down"
1,"LAHistoricWillowLake","Callospermophiluslateralis",40.402700,-121.352400,72,"LAHistoricWillowLake",0.000000,0.000000,"LA",71,-114790.159500,266005.411500,1672.088000,1,-1,0,"Temp Up","Precip Down"
1,"LAModernBattleCreek","Callospermophiluslateralis",40.349450,-121.631705,73,"LAModernBattleCreek",0.000000,0.000000,"LA",72,-138596.880100,260465.656100,1495.393000,1,-1,0,"Temp Up","Precip Down"
1,"LAModernEagleLakePapooseMeadow","Callospermophiluslateralis",40.525815,-120.767270,82,"LAModernEagleLakePapooseMeadow",0.000000,0.000000,"LA",81,-65015.853480,279121.392800,1626.669000,1,-1,0,"Temp Up","Precip Down"
1,"LAModernHelenEmeraldLakes","Callospermophiluslateralis",40.469727,-121.513978,84,"LAModernHelenEmeraldLakes",0.000000,0.000000,"LA",83,-128384.754600,273655.144900,2496.700000,-1,-1,-1,"Temp Down","Precip Down"
1,"LAModernManzanitaLake","Callospermophiluslateralis",40.537590,-121.570180,89,"LAModernManzanitaLake",0.000000,0.000000,"LA",88,-133025.436000,281267.401900,1790.643000,1,-1,0,"Temp Up","Precip Down"
1,"LAModernPoleSpring","Callospermophiluslateralis",40.587200,-121.287017,91,"LAModernPoleSpring",0.000000,0.000000,"LA",90,-108962.764400,286414.018200,1791.748000,1,-1,0,"Temp Up","Precip Down"
1,"LAModernSummitCreek","Callospermophiluslateralis",40.358040,-121.557570,95,"LAModernSummitCreek",0.000000,0.000000,"LA",94,-132284.767800,261313.600300,1616.155000,1,-1,0,"Temp Up","Precip Down"
1,"LAModernWillowLake","Callospermophiluslateralis",40.405860,-121.362885,99,"LAModernWillowLake",0.000000,0.000000,"LA",98,-115675.008700,266369.047300,1657.133000,-1,-1,-1,"Temp Down","Precip Down"
1,"LC1","Callospermophiluslateralis",37.779085,-119.261020,101,"LC1",0.000000,0.000000,"YO",100,64997.826250,-26124.407770,2932.721000,-1,-1,-1,"Temp Down","Precip Down"
1,"LC2","Callospermophiluslateralis",37.769127,-119.256857,102,"LC2",0.000000,0.000000,"YO",101,65372.657130,-27228.510230,3095.055000,-1,-1,-1,"Temp Down","Precip Down"
