"FID_","presence","aggname","species","LAT","LONG_","UID","AGGNAME_1","LAT_1","LONG_1","REGION","MASK","X","Y","SRTMV4","BIO1_PRDCT","BIO12_PRDC","Same","Elev_Temp","Elev_Preci"
,1.000000,"CPV1","Chaetodipuscalifornicus",37.640553,-120.211730,14.000000,"CPV1",0.000000,0.000000,"YO",13.000000,-18657.518090,-41756.995040,724.221200,-1.000000,1.000000,0.000000,"Temp Down","Precip Up"
,1.000000,"CPV4","Chaetodipuscalifornicus",37.723813,-120.263753,17.000000,"CPV4",0.000000,0.000000,"YO",16.000000,-23215.993450,-32489.830910,552.274800,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"CPV9","Chaetodipuscalifornicus",37.736360,-120.166455,22.000000,"CPV9",0.000000,0.000000,"YO",21.000000,-14649.218380,-31114.457130,893.957500,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"ElPortal1","Chaetodipuscalifornicus",37.679890,-119.783175,27.000000,"ElPortal1",0.000000,0.000000,"YO",26.000000,19096.484790,-37383.049510,854.071800,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"ElPortal2","Chaetodipuscalifornicus",37.673726,-119.793537,28.000000,"ElPortal2",0.000000,0.000000,"YO",27.000000,18185.363350,-38070.313930,571.839000,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"HG1","Chaetodipuscalifornicus",37.765250,-119.862330,40.000000,"HG1",0.000000,0.000000,"YO",39.000000,12111.273050,-27906.918740,1678.460000,-1.000000,1.000000,0.000000,"Temp Down","Precip Up"
,1.000000,"MD1","Chaetodipuscalifornicus",37.755420,-120.084680,110.000000,"MD1",0.000000,0.000000,"YO",109.000000,-7450.549834,-29005.153420,870.432300,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"PleasantValley1","Chaetodipuscalifornicus",37.656380,-120.290420,127.000000,"PleasantValley1",0.000000,0.000000,"YO",126.000000,-25586.224500,-39979.215120,250.635000,-1.000000,1.000000,0.000000,"Temp Down","Precip Up"
,1.000000,"PleasantValley2","Chaetodipuscalifornicus",37.644410,-120.301180,128.000000,"PleasantValley2",0.000000,0.000000,"YO",127.000000,-26538.412730,-41306.908560,334.679100,-1.000000,1.000000,0.000000,"Temp Down","Precip Up"
,1.000000,"SSHistoricBodfish","Chaetodipuscalifornicus",35.600131,-118.496674,139.000000,"SSHistoricBodfish",0.000000,0.000000,"SS",138.000000,136062.209800,-267460.777700,721.058200,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"SSHistoricDunlap","Chaetodipuscalifornicus",36.717103,-119.132257,146.000000,"SSHistoricDunlap",0.000000,0.000000,"SS",145.000000,77403.463230,-144071.995200,636.060100,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"SSHistoricHumeLake","Chaetodipuscalifornicus",36.787727,-118.913013,149.000000,"SSHistoricHumeLake",0.000000,0.000000,"SS",148.000000,96869.462860,-136021.356800,1589.811000,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"SSHistoricJordanHotSprings","Chaetodipuscalifornicus",36.229654,-118.301690,151.000000,"SSHistoricJordanHotSprings",0.000000,0.000000,"SS",150.000000,152455.139500,-197232.637000,1984.490000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"SSHistoricMillCreek","Chaetodipuscalifornicus",35.530586,-118.622159,155.000000,"SSHistoricMillCreek",0.000000,0.000000,"SS",154.000000,124817.979500,-275357.466800,765.090300,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
