"FID_","presence","aggname","species","LAT","LONG_","UID","AGGNAME_1","LAT_1","LONG_1","REGION","MASK","X","Y","SRTMV4","BIO1_PRDCT","BIO12_PRDC","Same","Elev_Temp","Elev_Preci"
,1.000000,"Cascade1","Microtuscalifornicus",37.725765,-119.710935,4.000000,"Cascade1",0.000000,0.000000,"YO",3.000000,25443.331090,-32266.339210,1101.101000,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"Coulterville2","Microtuscalifornicus",37.738450,-120.141870,12.000000,"Coulterville2",0.000000,0.000000,"YO",11.000000,-12485.218430,-30885.637380,975.230100,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"CPV4","Microtuscalifornicus",37.723813,-120.263753,17.000000,"CPV4",0.000000,0.000000,"YO",16.000000,-23215.993450,-32489.830910,552.274800,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"CPV6","Microtuscalifornicus",37.708810,-120.221210,19.000000,"CPV6",0.000000,0.000000,"YO",18.000000,-19475.184180,-34167.234750,420.264700,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"ElPortal2","Microtuscalifornicus",37.673726,-119.793537,28.000000,"ElPortal2",0.000000,0.000000,"YO",27.000000,18185.363350,-38070.313930,571.839000,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"FM2","Microtuscalifornicus",37.579037,-119.882130,33.000000,"FM2",0.000000,0.000000,"YO",32.000000,10395.140130,-48609.836840,1154.252000,-1.000000,1.000000,0.000000,"Temp Down","Precip Up"
,1.000000,"LaGrange1","Microtuscalifornicus",37.666100,-120.469857,46.000000,"LaGrange1",0.000000,0.000000,"YO",45.000000,-41389.302010,-38835.308590,52.148530,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"LAHistoricBattleCreek","Microtuscalifornicus",40.350300,-122.177300,47.000000,"LAHistoricBattleCreek",0.000000,0.000000,"LA",46.000000,-184930.377600,261490.941200,102.971300,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"LAHistoricDalesPayneCreek","Microtuscalifornicus",40.314600,-122.069500,50.000000,"LAHistoricDalesPayneCreek",0.000000,0.000000,"LA",49.000000,-175862.345600,257321.988500,186.013900,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"LAHistoricLymans","Microtuscalifornicus",40.309600,-121.767800,57.000000,"LAHistoricLymans",0.000000,0.000000,"LA",56.000000,-150238.006900,256247.934900,1050.525000,-1.000000,-1.000000,-1.000000,"Temp Down","Precip Down"
,1.000000,"LAHistoricManton","Microtuscalifornicus",40.435000,-121.871800,58.000000,"LAHistoricManton",0.000000,0.000000,"LA",57.000000,-158800.489100,270341.304200,606.730000,-1.000000,-1.000000,-1.000000,"Temp Down","Precip Down"
,1.000000,"LAHistoricMillCreek","Microtuscalifornicus",40.053000,-122.100800,60.000000,"LAHistoricMillCreek",0.000000,0.000000,"LA",59.000000,-179165.522500,228331.089700,74.852420,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
