"FID_","presence","aggname","species","LAT","LONG_","UID","AGGNAME_1","LAT_1","LONG_1","REGION","MASK","X","Y","SRTMV4","BIO1_PRDCT","BIO12_PRDC","Same","Elev_Temp","Elev_Preci"
,1.000000,"AspenValley1","Microtuslongicaudus",37.827725,-119.771211,1.000000,"AspenValley1",0.000000,0.000000,"YO",0.000000,20110.532530,-20946.300020,1875.134000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"AV1","Microtuslongicaudus",37.825340,-119.772210,2.000000,"AV1",0.000000,0.000000,"YO",1.000000,20023.357710,-21211.643720,1874.252000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"CascadeCreek1","Microtuslongicaudus",37.738698,-119.702903,5.000000,"CascadeCreek1",0.000000,0.000000,"YO",4.000000,26145.795420,-30826.443450,1817.401000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"CF2","Microtuslongicaudus",37.752878,-119.797693,7.000000,"CF2",0.000000,0.000000,"YO",6.000000,17800.525550,-29272.074600,1879.908000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"Ch1","Microtuslongicaudus",37.685987,-119.724393,9.000000,"Ch1",0.000000,0.000000,"YO",8.000000,24271.623880,-36691.826580,1104.616000,-1.000000,-1.000000,-1.000000,"Temp Down","Precip Down"
,1.000000,"Chinquapin1","Microtuslongicaudus",37.652364,-119.702601,10.000000,"Chinquapin1",0.000000,0.000000,"YO",9.000000,26202.478170,-40423.749880,1844.729000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"CraneFlat1","Microtuslongicaudus",37.755589,-119.798050,23.000000,"CraneFlat1",0.000000,0.000000,"YO",22.000000,17768.472040,-28970.769390,1888.713000,-1.000000,-1.000000,-1.000000,"Temp Down","Precip Down"
,1.000000,"DL1","Microtuslongicaudus",38.172967,-119.594753,26.000000,"DL1",0.000000,0.000000,"YO",25.000000,35457.053860,17484.555350,2863.963000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"ElPortal2","Microtuslongicaudus",37.673726,-119.793537,28.000000,"ElPortal2",0.000000,0.000000,"YO",27.000000,18185.363350,-38070.313930,571.839000,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"GA1","Microtuslongicaudus",37.911700,-119.424950,35.000000,"GA1",0.000000,0.000000,"YO",34.000000,50489.960970,-11482.202040,2371.780000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"GemLake1","Microtuslongicaudus",37.758570,-119.159400,36.000000,"GemLake1",0.000000,0.000000,"YO",35.000000,73955.928920,-28330.446110,2781.719000,-1.000000,-1.000000,-1.000000,"Temp Down","Precip Down"
,1.000000,"GlenAulin1","Microtuslongicaudus",37.912060,-119.421350,37.000000,"GlenAulin1",0.000000,0.000000,"YO",36.000000,50805.796380,-11440.259530,2383.204000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"GM1","Microtuslongicaudus",38.162540,-119.604610,38.000000,"GM1",0.000000,0.000000,"YO",37.000000,34599.455490,16321.801630,2744.549000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"HappyIsles1","Microtuslongicaudus",37.731600,-119.561000,39.000000,"HappyIsles1",0.000000,0.000000,"YO",38.000000,38637.439770,-31567.016610,1231.361000,-1.000000,-1.000000,-1.000000,"Temp Down","Precip Down"
,1.000000,"IC1","Microtuslongicaudus",37.777160,-119.566745,42.000000,"IC1",0.000000,0.000000,"YO",41.000000,38108.667350,-26504.641670,2223.218000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"IndianCanyon1","Microtuslongicaudus",37.774320,-119.569020,43.000000,"IndianCanyon1",0.000000,0.000000,"YO",42.000000,37909.997220,-26821.264050,2195.465000,-1.000000,-1.000000,-1.000000,"Temp Down","Precip Down"
,1.000000,"KM1","Microtuslongicaudus",38.122007,-119.481950,45.000000,"KM1",0.000000,0.000000,"YO",44.000000,45357.610170,11867.696370,2867.498000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"LAHistoricBlackButte","Microtuslongicaudus",40.414700,-121.531900,48.000000,"LAHistoricBlackButte",0.000000,0.000000,"LA",47.000000,-130003.133700,267569.623800,1979.420000,-1.000000,-1.000000,-1.000000,"Temp Down","Precip Down"
,1.000000,"LAHistoricButteLake","Microtuslongicaudus",40.564900,-121.303400,49.000000,"LAHistoricButteLake",0.000000,0.000000,"LA",48.000000,-110383.752000,283957.078000,1859.799000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"LAHistoricHotSpringValley","Microtuslongicaudus",40.442300,-121.393800,54.000000,"LAHistoricHotSpringValley",0.000000,0.000000,"LA",53.000000,-118239.246300,270453.469100,1727.630000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"LAHistoricKellys2","Microtuslongicaudus",40.433100,-121.356700,55.000000,"LAHistoricKellys2",0.000000,0.000000,"LA",54.000000,-115106.805400,269386.259500,1610.507000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
