"FID_","presence","aggname","species","LAT","LONG_","UID","AGGNAME_1","LAT_1","LONG_1","REGION","MASK","X","Y","SRTMV4","BIO1_PRDCT","BIO12_PRDC","Same","Elev_Temp","Elev_Preci"
,1.000000,"Cascade1","Neotomamacrotis",37.725765,-119.710935,4.000000,"Cascade1",0.000000,0.000000,"YO",3.000000,25443.331090,-32266.339210,1101.101000,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"Coulterville1","Neotomamacrotis",37.710817,-120.214514,11.000000,"Coulterville1",0.000000,0.000000,"YO",10.000000,-18885.168910,-33945.478880,472.378600,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"Coulterville2","Neotomamacrotis",37.738450,-120.141870,12.000000,"Coulterville2",0.000000,0.000000,"YO",11.000000,-12485.218430,-30885.637380,975.230100,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"CPV1","Neotomamacrotis",37.640553,-120.211730,14.000000,"CPV1",0.000000,0.000000,"YO",13.000000,-18657.518090,-41756.995040,724.221200,-1.000000,1.000000,0.000000,"Temp Down","Precip Up"
,1.000000,"CPV2","Neotomamacrotis",37.655940,-120.221320,15.000000,"CPV2",0.000000,0.000000,"YO",14.000000,-19498.588520,-40044.557780,549.316800,-1.000000,1.000000,0.000000,"Temp Down","Precip Up"
,1.000000,"CPV3","Neotomamacrotis",37.614215,-120.182320,16.000000,"CPV3",0.000000,0.000000,"YO",15.000000,-16071.560750,-44690.262160,859.227700,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"CPV4","Neotomamacrotis",37.723813,-120.263753,17.000000,"CPV4",0.000000,0.000000,"YO",16.000000,-23215.993450,-32489.830910,552.274800,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"CPV5","Neotomamacrotis",37.738830,-120.248260,18.000000,"CPV5",0.000000,0.000000,"YO",17.000000,-21847.904760,-30824.130580,691.363800,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"CPV6","Neotomamacrotis",37.708810,-120.221210,19.000000,"CPV6",0.000000,0.000000,"YO",18.000000,-19475.184180,-34167.234750,420.264700,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"CPV8","Neotomamacrotis",37.719510,-120.179410,21.000000,"CPV8",0.000000,0.000000,"YO",20.000000,-15792.893430,-32985.530640,569.235500,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"CPV9","Neotomamacrotis",37.736360,-120.166455,22.000000,"CPV9",0.000000,0.000000,"YO",21.000000,-14649.218380,-31114.457130,893.957500,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"ElPortal1","Neotomamacrotis",37.679890,-119.783175,27.000000,"ElPortal1",0.000000,0.000000,"YO",26.000000,19096.484790,-37383.049510,854.071800,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"ElPortal2","Neotomamacrotis",37.673726,-119.793537,28.000000,"ElPortal2",0.000000,0.000000,"YO",27.000000,18185.363350,-38070.313930,571.839000,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"FM1","Neotomamacrotis",37.566240,-119.868510,32.000000,"FM1",0.000000,0.000000,"YO",31.000000,11598.281540,-50030.838990,1267.764000,-1.000000,1.000000,0.000000,"Temp Down","Precip Up"
,1.000000,"FM2","Neotomamacrotis",37.579037,-119.882130,33.000000,"FM2",0.000000,0.000000,"YO",32.000000,10395.140130,-48609.836840,1154.252000,-1.000000,1.000000,0.000000,"Temp Down","Precip Up"
,1.000000,"HG1","Neotomamacrotis",37.765250,-119.862330,40.000000,"HG1",0.000000,0.000000,"YO",39.000000,12111.273050,-27906.918740,1678.460000,-1.000000,1.000000,0.000000,"Temp Down","Precip Up"
,1.000000,"LG3","Neotomamacrotis",37.667473,-120.467947,106.000000,"LG3",0.000000,0.000000,"YO",105.000000,-41220.299770,-38683.511410,61.718000,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"MD1","Neotomamacrotis",37.755420,-120.084680,110.000000,"MD1",0.000000,0.000000,"YO",109.000000,-7450.549834,-29005.153420,870.432300,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"MercedGrove1","Neotomamacrotis",37.748726,-119.838660,112.000000,"MercedGrove1",0.000000,0.000000,"YO",111.000000,14196.723250,-29740.550800,1625.980000,-1.000000,-1.000000,-1.000000,"Temp Down","Precip Down"
,1.000000,"PleasantValley1","Neotomamacrotis",37.656380,-120.290420,127.000000,"PleasantValley1",0.000000,0.000000,"YO",126.000000,-25586.224500,-39979.215120,250.635000,-1.000000,1.000000,0.000000,"Temp Down","Precip Up"
,1.000000,"S1","Neotomamacrotis",37.511210,-120.383910,131.000000,"S1",0.000000,0.000000,"YO",130.000000,-33888.072870,-56087.679230,90.325130,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"SSHistoricBodfish","Neotomamacrotis",35.600131,-118.496674,139.000000,"SSHistoricBodfish",0.000000,0.000000,"SS",138.000000,136062.209800,-267460.777700,721.058200,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"SSHistoricKingsRiverCanyon","Neotomamacrotis",36.793800,-118.581000,152.000000,"SSHistoricKingsRiverCanyon",0.000000,0.000000,"SS",151.000000,126445.547300,-134955.401400,1532.922000,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"SSHistoricMinkler","Neotomamacrotis",36.716600,-119.464100,156.000000,"SSHistoricMinkler",0.000000,0.000000,"SS",155.000000,47803.495290,-144347.020400,117.597500,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"SSHistoricTaylorMeadow","Neotomamacrotis",35.830658,-118.291750,161.000000,"SSHistoricTaylorMeadow",0.000000,0.000000,"SS",160.000000,154146.076700,-241541.756100,2147.303000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"SSHistoricWeldonFayCreeknorth","Neotomamacrotis",35.741200,-118.310000,162.000000,"SSHistoricWeldonFayCreeknorth",0.000000,0.000000,"SS",161.000000,152676.584500,-251507.948100,1261.484000,-1.000000,1.000000,0.000000,"Temp Down","Precip Up"
,1.000000,"SSHistoricWeldonsouth","Neotomamacrotis",35.666083,-118.289480,163.000000,"SSHistoricWeldonsouth",0.000000,0.000000,"SS",162.000000,154680.729600,-259817.968800,809.354000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"SSModernBakersfield","Neotomamacrotis",35.513862,-118.870948,166.000000,"SSModernBakersfield",0.000000,0.000000,"SS",165.000000,102303.603100,-277512.920300,269.607100,-1.000000,1.000000,0.000000,"Temp Down","Precip Up"
,1.000000,"SSModernBodfish0102","Neotomamacrotis",35.599554,-118.496725,168.000000,"SSModernBodfish0102",0.000000,0.000000,"SS",167.000000,136058.610600,-267524.936500,724.749600,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"SSModernBodfish03ErskineCr","Neotomamacrotis",35.587765,-118.440047,169.000000,"SSModernBodfish03ErskineCr",0.000000,0.000000,"SS",168.000000,141209.521500,-268751.414100,940.511900,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"SSModernBodfish04SandyFlatCampground","Neotomamacrotis",35.587765,-118.440047,170.000000,"SSModernBodfish04SandyFlatCampground",0.000000,0.000000,"SS",169.000000,141209.521500,-268751.414100,940.511900,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"SSModernDunlapMillCreek","Neotomamacrotis",36.730162,-119.118640,176.000000,"SSModernDunlapMillCreek",0.000000,0.000000,"SS",175.000000,78604.584610,-142609.417200,578.186800,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"SSModernHumeLake","Neotomamacrotis",36.791984,-118.904039,184.000000,"SSModernHumeLake",0.000000,0.000000,"SS",183.000000,97663.697600,-135539.028700,1586.465000,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"SSModernJackassMeadow","Neotomamacrotis",36.092920,-118.226927,185.000000,"SSModernJackassMeadow",0.000000,0.000000,"SS",184.000000,159449.881100,-212300.674600,2361.109000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"SSModernSmithMeadowTroutCreek","Neotomamacrotis",35.965359,-118.226692,196.000000,"SSModernSmithMeadowTroutCreek",0.000000,0.000000,"SS",195.000000,159736.094900,-226471.087200,1858.219000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"SSModernTaylorMeadow","Neotomamacrotis",35.830001,-118.295724,197.000000,"SSModernTaylorMeadow",0.000000,0.000000,"SS",196.000000,153788.828500,-241621.188800,2169.803000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"SSModernWeldon01050709FRRFayCreeknorth","Neotomamacrotis",35.716316,-118.305222,198.000000,"SSModernWeldon01050709FRRFayCreeknorth",0.000000,0.000000,"SS",197.000000,153157.601400,-254264.168400,1041.319000,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
