"FID_","presence","aggname","species","LAT","LONG_","UID","AGGNAME_1","LAT_1","LONG_1","REGION","MASK","X","Y","SRTMV4","BIO1_PRDCT","BIO12_PRDC","Same","Elev_Temp","Elev_Preci"
,1.000000,"Ca1","Peromyscusboylii",37.723150,-119.712003,3.000000,"Ca1",0.000000,0.000000,"YO",2.000000,25350.209700,-32557.324450,1044.115000,-1.000000,1.000000,0.000000,"Temp Down","Precip Up"
,1.000000,"Cascade1","Peromyscusboylii",37.725765,-119.710935,4.000000,"Cascade1",0.000000,0.000000,"YO",3.000000,25443.331090,-32266.339210,1101.101000,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"Ch1","Peromyscusboylii",37.685987,-119.724393,9.000000,"Ch1",0.000000,0.000000,"YO",8.000000,24271.623880,-36691.826580,1104.616000,-1.000000,-1.000000,-1.000000,"Temp Down","Precip Down"
,1.000000,"Coulterville2","Peromyscusboylii",37.738450,-120.141870,12.000000,"Coulterville2",0.000000,0.000000,"YO",11.000000,-12485.218430,-30885.637380,975.230100,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"CPV3","Peromyscusboylii",37.614215,-120.182320,16.000000,"CPV3",0.000000,0.000000,"YO",15.000000,-16071.560750,-44690.262160,859.227700,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"CPV4","Peromyscusboylii",37.723813,-120.263753,17.000000,"CPV4",0.000000,0.000000,"YO",16.000000,-23215.993450,-32489.830910,552.274800,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"CPV6","Peromyscusboylii",37.708810,-120.221210,19.000000,"CPV6",0.000000,0.000000,"YO",18.000000,-19475.184180,-34167.234750,420.264700,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"CPV7","Peromyscusboylii",37.684050,-120.121410,20.000000,"CPV7",0.000000,0.000000,"YO",19.000000,-10692.388790,-36935.588140,898.585500,-1.000000,1.000000,0.000000,"Temp Down","Precip Up"
,1.000000,"CPV8","Peromyscusboylii",37.719510,-120.179410,21.000000,"CPV8",0.000000,0.000000,"YO",20.000000,-15792.893430,-32985.530640,569.235500,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"ElPortal1","Peromyscusboylii",37.679890,-119.783175,27.000000,"ElPortal1",0.000000,0.000000,"YO",26.000000,19096.484790,-37383.049510,854.071800,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"ElPortal2","Peromyscusboylii",37.673726,-119.793537,28.000000,"ElPortal2",0.000000,0.000000,"YO",27.000000,18185.363350,-38070.313930,571.839000,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"ElPortal3","Peromyscusboylii",37.688188,-119.764217,29.000000,"ElPortal3",0.000000,0.000000,"YO",28.000000,20763.880270,-36456.608890,1202.030000,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"F1","Peromyscusboylii",37.703690,-119.740075,30.000000,"F1",0.000000,0.000000,"YO",29.000000,22885.180060,-34727.756190,1340.643000,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"FM1","Peromyscusboylii",37.566240,-119.868510,32.000000,"FM1",0.000000,0.000000,"YO",31.000000,11598.281540,-50030.838990,1267.764000,-1.000000,1.000000,0.000000,"Temp Down","Precip Up"
,1.000000,"FM2","Peromyscusboylii",37.579037,-119.882130,33.000000,"FM2",0.000000,0.000000,"YO",32.000000,10395.140130,-48609.836840,1154.252000,-1.000000,1.000000,0.000000,"Temp Down","Precip Up"
,1.000000,"GlenAulin1","Peromyscusboylii",37.912060,-119.421350,37.000000,"GlenAulin1",0.000000,0.000000,"YO",36.000000,50805.796380,-11440.259530,2383.204000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"HG1","Peromyscusboylii",37.765250,-119.862330,40.000000,"HG1",0.000000,0.000000,"YO",39.000000,12111.273050,-27906.918740,1678.460000,-1.000000,1.000000,0.000000,"Temp Down","Precip Up"
,1.000000,"IndianCanyon1","Peromyscusboylii",37.774320,-119.569020,43.000000,"IndianCanyon1",0.000000,0.000000,"YO",42.000000,37909.997220,-26821.264050,2195.465000,-1.000000,-1.000000,-1.000000,"Temp Down","Precip Down"
,1.000000,"LAHistoricBattleCreek","Peromyscusboylii",40.350300,-122.177300,47.000000,"LAHistoricBattleCreek",0.000000,0.000000,"LA",46.000000,-184930.377600,261490.941200,102.971300,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"LAHistoricDalesPayneCreek","Peromyscusboylii",40.314600,-122.069500,50.000000,"LAHistoricDalesPayneCreek",0.000000,0.000000,"LA",49.000000,-175862.345600,257321.988500,186.013900,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"LAHistoricLymans","Peromyscusboylii",40.309600,-121.767800,57.000000,"LAHistoricLymans",0.000000,0.000000,"LA",56.000000,-150238.006900,256247.934900,1050.525000,-1.000000,-1.000000,-1.000000,"Temp Down","Precip Down"
,1.000000,"LAHistoricManton","Peromyscusboylii",40.435000,-121.871800,58.000000,"LAHistoricManton",0.000000,0.000000,"LA",57.000000,-158800.489100,270341.304200,606.730000,-1.000000,-1.000000,-1.000000,"Temp Down","Precip Down"
,1.000000,"LAHistoricMillCreek","Peromyscusboylii",40.053000,-122.100800,60.000000,"LAHistoricMillCreek",0.000000,0.000000,"LA",59.000000,-179165.522500,228331.089700,74.852420,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"LAHistoricRedBluff4","Peromyscusboylii",40.197800,-122.222700,66.000000,"LAHistoricRedBluff4",0.000000,0.000000,"LA",65.000000,-189182.801700,244647.697200,77.855400,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"LAModernHogLake","Peromyscusboylii",40.282610,-122.122890,85.000000,"LAModernHogLake",0.000000,0.000000,"LA",84.000000,-180478.129400,253870.296000,269.907900,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"LAModernLymanSprings","Peromyscusboylii",40.311240,-121.764275,88.000000,"LAModernLymanSprings",0.000000,0.000000,"LA",87.000000,-149935.077100,256424.464100,1042.067000,-1.000000,-1.000000,-1.000000,"Temp Down","Precip Down"
,1.000000,"LAModernPaynesCreek","Peromyscusboylii",40.302540,-122.106140,90.000000,"LAModernPaynesCreek",0.000000,0.000000,"LA",89.000000,-179005.190400,256051.479700,167.763200,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"LAModernVasquezRanch","Peromyscusboylii",40.436528,-121.875444,98.000000,"LAModernVasquezRanch",0.000000,0.000000,"LA",97.000000,-159106.243500,270517.065300,597.304000,-1.000000,-1.000000,-1.000000,"Temp Down","Precip Down"
,1.000000,"LG3","Peromyscusboylii",37.667473,-120.467947,106.000000,"LG3",0.000000,0.000000,"YO",105.000000,-41220.299770,-38683.511410,61.718000,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"MD1","Peromyscusboylii",37.755420,-120.084680,110.000000,"MD1",0.000000,0.000000,"YO",109.000000,-7450.549834,-29005.153420,870.432300,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"MercedGrove1","Peromyscusboylii",37.748726,-119.838660,112.000000,"MercedGrove1",0.000000,0.000000,"YO",111.000000,14196.723250,-29740.550800,1625.980000,-1.000000,-1.000000,-1.000000,"Temp Down","Precip Down"
,1.000000,"ML1","Peromyscusboylii",37.729643,-119.392858,117.000000,"ML1",0.000000,0.000000,"YO",116.000000,53437.238160,-31702.919570,2220.732000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"ML2","Peromyscusboylii",37.739707,-119.405170,118.000000,"ML2",0.000000,0.000000,"YO",117.000000,52346.600050,-30591.030110,2221.366000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"PF1","Peromyscusboylii",37.808943,-119.568627,126.000000,"PF1",0.000000,0.000000,"YO",125.000000,37927.053840,-22972.218280,2480.396000,-1.000000,-1.000000,-1.000000,"Temp Down","Precip Down"
,1.000000,"PleasantValley1","Peromyscusboylii",37.656380,-120.290420,127.000000,"PleasantValley1",0.000000,0.000000,"YO",126.000000,-25586.224500,-39979.215120,250.635000,-1.000000,1.000000,0.000000,"Temp Down","Precip Up"
,1.000000,"PleasantValley2","Peromyscusboylii",37.644410,-120.301180,128.000000,"PleasantValley2",0.000000,0.000000,"YO",127.000000,-26538.412730,-41306.908560,334.679100,-1.000000,1.000000,0.000000,"Temp Down","Precip Up"
,1.000000,"PorcupineFlat1","Peromyscusboylii",37.805260,-119.556320,129.000000,"PorcupineFlat1",0.000000,0.000000,"YO",128.000000,39011.014610,-23376.647800,2464.142000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"SSHistoricBodfish","Peromyscusboylii",35.600131,-118.496674,139.000000,"SSHistoricBodfish",0.000000,0.000000,"SS",138.000000,136062.209800,-267460.777700,721.058200,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"SSHistoricCannellMeadow","Peromyscusboylii",35.825082,-118.367170,143.000000,"SSHistoricCannellMeadow",0.000000,0.000000,"SS",142.000000,147351.815400,-242281.057200,2268.453000,-1.000000,-1.000000,-1.000000,"Temp Down","Precip Down"
,1.000000,"SSHistoricCrabtreeMeadowWhitneyCreek","Peromyscusboylii",36.551234,-118.358540,145.000000,"SSHistoricCrabtreeMeadowWhitneyCreek",0.000000,0.000000,"SS",144.000000,146733.605200,-161590.786400,3147.729000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"SSHistoricDunlap","Peromyscusboylii",36.717103,-119.132257,146.000000,"SSHistoricDunlap",0.000000,0.000000,"SS",145.000000,77403.463230,-144071.995200,636.060100,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"SSHistoricHorseCorralMeadow","Peromyscusboylii",36.747440,-118.754040,148.000000,"SSHistoricHorseCorralMeadow",0.000000,0.000000,"SS",147.000000,111094.805000,-140324.410700,2312.607000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"SSHistoricHumeLake","Peromyscusboylii",36.787727,-118.913013,149.000000,"SSHistoricHumeLake",0.000000,0.000000,"SS",148.000000,96869.462860,-136021.356800,1589.811000,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"SSHistoricJackassMeadow","Peromyscusboylii",36.092861,-118.226200,150.000000,"SSHistoricJackassMeadow",0.000000,0.000000,"SS",149.000000,159515.374100,-212306.006200,2364.477000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"SSHistoricJordanHotSprings","Peromyscusboylii",36.229654,-118.301690,151.000000,"SSHistoricJordanHotSprings",0.000000,0.000000,"SS",150.000000,152455.139500,-197232.637000,1984.490000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"SSHistoricKingsRiverCanyon","Peromyscusboylii",36.793800,-118.581000,152.000000,"SSHistoricKingsRiverCanyon",0.000000,0.000000,"SS",151.000000,126445.547300,-134955.401400,1532.922000,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"SSHistoricMillCreek","Peromyscusboylii",35.530586,-118.622159,155.000000,"SSHistoricMillCreek",0.000000,0.000000,"SS",154.000000,124817.979500,-275357.466800,765.090300,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"SSHistoricMinkler","Peromyscusboylii",36.716600,-119.464100,156.000000,"SSHistoricMinkler",0.000000,0.000000,"SS",155.000000,47803.495290,-144347.020400,117.597500,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"SSHistoricOnionValley","Peromyscusboylii",36.774383,-118.331046,157.000000,"SSHistoricOnionValley",0.000000,0.000000,"SS",156.000000,148754.536700,-136750.484300,2695.103000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"SSHistoricSmithMeadowTroutCreek","Peromyscusboylii",35.964740,-118.229470,160.000000,"SSHistoricSmithMeadowTroutCreek",0.000000,0.000000,"SS",159.000000,159487.171500,-226544.526500,1860.369000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"SSHistoricTaylorMeadow","Peromyscusboylii",35.830658,-118.291750,161.000000,"SSHistoricTaylorMeadow",0.000000,0.000000,"SS",160.000000,154146.076700,-241541.756100,2147.303000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"SSHistoricWeldonFayCreeknorth","Peromyscusboylii",35.741200,-118.310000,162.000000,"SSHistoricWeldonFayCreeknorth",0.000000,0.000000,"SS",161.000000,152676.584500,-251507.948100,1261.484000,-1.000000,1.000000,0.000000,"Temp Down","Precip Up"
,1.000000,"SSHistoricWeldonsouth","Peromyscusboylii",35.666083,-118.289480,163.000000,"SSHistoricWeldonsouth",0.000000,0.000000,"SS",162.000000,154680.729600,-259817.968800,809.354000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"SSModernBodfish0102","Peromyscusboylii",35.599554,-118.496725,168.000000,"SSModernBodfish0102",0.000000,0.000000,"SS",167.000000,136058.610600,-267524.936500,724.749600,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"SSModernBodfish03ErskineCr","Peromyscusboylii",35.587765,-118.440047,169.000000,"SSModernBodfish03ErskineCr",0.000000,0.000000,"SS",168.000000,141209.521500,-268751.414100,940.511900,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"SSModernBodfish04SandyFlatCampground","Peromyscusboylii",35.587765,-118.440047,170.000000,"SSModernBodfish04SandyFlatCampground",0.000000,0.000000,"SS",169.000000,141209.521500,-268751.414100,940.511900,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"SSModernCannellMeadow","Peromyscusboylii",35.833444,-118.370749,173.000000,"SSModernCannellMeadow",0.000000,0.000000,"SS",172.000000,147012.903100,-241357.757100,2278.331000,-1.000000,-1.000000,-1.000000,"Temp Down","Precip Down"
,1.000000,"SSModernDunlapMillCreek","Peromyscusboylii",36.730162,-119.118640,176.000000,"SSModernDunlapMillCreek",0.000000,0.000000,"SS",175.000000,78604.584610,-142609.417200,578.186800,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"SSModernHorseCorralMeadow","Peromyscusboylii",36.746714,-118.766445,183.000000,"SSModernHorseCorralMeadow",0.000000,0.000000,"SS",182.000000,109989.837900,-140419.559000,2281.410000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"SSModernHumeLake","Peromyscusboylii",36.791984,-118.904039,184.000000,"SSModernHumeLake",0.000000,0.000000,"SS",183.000000,97663.697600,-135539.028700,1586.465000,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"SSModernKingsRiverCanyon","Peromyscusboylii",36.791109,-118.600285,186.000000,"SSModernKingsRiverCanyon",0.000000,0.000000,"SS",185.000000,124731.623200,-135280.011200,1513.627000,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"SSModernMillCreek","Peromyscusboylii",35.535328,-118.617320,190.000000,"SSModernMillCreek",0.000000,0.000000,"SS",189.000000,125248.629800,-274824.419800,741.362400,-1.000000,1.000000,0.000000,"Temp Down","Precip Up"
,1.000000,"SSModernMinkler010203","Peromyscusboylii",36.750489,-119.440385,191.000000,"SSModernMinkler010203",0.000000,0.000000,"SS",190.000000,49896.670550,-140568.274500,133.222900,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"SSModernTaylorMeadow","Peromyscusboylii",35.830001,-118.295724,197.000000,"SSModernTaylorMeadow",0.000000,0.000000,"SS",196.000000,153788.828500,-241621.188800,2169.803000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"SSModernWeldon01050709FRRFayCreeknorth","Peromyscusboylii",35.716316,-118.305222,198.000000,"SSModernWeldon01050709FRRFayCreeknorth",0.000000,0.000000,"SS",197.000000,153157.601400,-254264.168400,1041.319000,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"SSModernWeldon02030608south","Peromyscusboylii",35.678534,-118.295301,199.000000,"SSModernWeldon02030608south",0.000000,0.000000,"SS",198.000000,154129.530900,-258444.540000,809.605600,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"Sweetwater1","Peromyscusboylii",37.588966,-119.881282,201.000000,"Sweetwater1",0.000000,0.000000,"YO",200.000000,10468.544430,-47505.982360,1066.446000,-1.000000,1.000000,0.000000,"Temp Down","Precip Up"
,1.000000,"YC1","Peromyscusboylii",37.850383,-119.576373,220.000000,"YC1",0.000000,0.000000,"YO",219.000000,37225.432800,-18368.579130,2278.607000,-1.000000,-1.000000,-1.000000,"Temp Down","Precip Down"
,1.000000,"YosemiteValley1","Peromyscusboylii",37.749845,-119.590549,221.000000,"YosemiteValley1",0.000000,0.000000,"YO",220.000000,36028.019030,-29550.437430,1222.915000,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"YosemiteValley2","Peromyscusboylii",37.737319,-119.602468,222.000000,"YosemiteValley2",0.000000,0.000000,"YO",221.000000,34985.098700,-30947.361810,1206.647000,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"YosemiteValley4","Peromyscusboylii",37.745800,-119.605400,224.000000,"YosemiteValley4",0.000000,0.000000,"YO",223.000000,34723.143350,-30005.643790,1419.538000,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"YV1","Peromyscusboylii",37.715150,-119.665000,225.000000,"YV1",0.000000,0.000000,"YO",224.000000,29490.656630,-33433.057610,1190.880000,-1.000000,-1.000000,-1.000000,"Temp Down","Precip Down"
,1.000000,"YV3","Peromyscusboylii",37.732423,-119.607703,227.000000,"YV3",0.000000,0.000000,"YO",226.000000,34526.643350,-31493.547830,1206.647000,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"YV4","Peromyscusboylii",37.742763,-119.587650,228.000000,"YV4",0.000000,0.000000,"YO",227.000000,36286.527560,-30336.606610,1208.709000,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"YV7","Peromyscusboylii",37.753365,-119.545570,231.000000,"YV7",0.000000,0.000000,"YO",230.000000,39983.863600,-29141.104050,1255.549000,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"YV8","Peromyscusboylii",37.752360,-119.587230,232.000000,"YV8",0.000000,0.000000,"YO",231.000000,36318.842230,-29269.589560,1321.366000,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
