"FID_","presence","aggname","species","LAT","LONG_","UID","AGGNAME_1","LAT_1","LONG_1","REGION","MASK","X","Y","SRTMV4","BIO1_PRDCT","BIO12_PRDC","Same","Elev_Temp","Elev_Preci"
,1.000000,"AspenValley1","Peromyscusmaniculatus",37.827725,-119.771211,1.000000,"AspenValley1",0.000000,0.000000,"YO",0.000000,20110.532530,-20946.300020,1875.134000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"AV1","Peromyscusmaniculatus",37.825340,-119.772210,2.000000,"AV1",0.000000,0.000000,"YO",1.000000,20023.357710,-21211.643720,1874.252000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"Ca1","Peromyscusmaniculatus",37.723150,-119.712003,3.000000,"Ca1",0.000000,0.000000,"YO",2.000000,25350.209700,-32557.324450,1044.115000,-1.000000,1.000000,0.000000,"Temp Down","Precip Up"
,1.000000,"Cascade1","Peromyscusmaniculatus",37.725765,-119.710935,4.000000,"Cascade1",0.000000,0.000000,"YO",3.000000,25443.331090,-32266.339210,1101.101000,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"CascadeCreek1","Peromyscusmaniculatus",37.738698,-119.702903,5.000000,"CascadeCreek1",0.000000,0.000000,"YO",4.000000,26145.795420,-30826.443450,1817.401000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"CF2","Peromyscusmaniculatus",37.752878,-119.797693,7.000000,"CF2",0.000000,0.000000,"YO",6.000000,17800.525550,-29272.074600,1879.908000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"CF3","Peromyscusmaniculatus",37.757750,-119.769900,8.000000,"CF3",0.000000,0.000000,"YO",7.000000,20244.648430,-28724.895480,2096.169000,-1.000000,-1.000000,-1.000000,"Temp Down","Precip Down"
,1.000000,"Ch1","Peromyscusmaniculatus",37.685987,-119.724393,9.000000,"Ch1",0.000000,0.000000,"YO",8.000000,24271.623880,-36691.826580,1104.616000,-1.000000,-1.000000,-1.000000,"Temp Down","Precip Down"
,1.000000,"Chinquapin1","Peromyscusmaniculatus",37.652364,-119.702601,10.000000,"Chinquapin1",0.000000,0.000000,"YO",9.000000,26202.478170,-40423.749880,1844.729000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"Coulterville2","Peromyscusmaniculatus",37.738450,-120.141870,12.000000,"Coulterville2",0.000000,0.000000,"YO",11.000000,-12485.218430,-30885.637380,975.230100,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"Coulterville3","Peromyscusmaniculatus",37.753536,-120.105800,13.000000,"Coulterville3",0.000000,0.000000,"YO",12.000000,-9309.021079,-29212.724620,903.797400,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"CPV1","Peromyscusmaniculatus",37.640553,-120.211730,14.000000,"CPV1",0.000000,0.000000,"YO",13.000000,-18657.518090,-41756.995040,724.221200,-1.000000,1.000000,0.000000,"Temp Down","Precip Up"
,1.000000,"CPV2","Peromyscusmaniculatus",37.655940,-120.221320,15.000000,"CPV2",0.000000,0.000000,"YO",14.000000,-19498.588520,-40044.557780,549.316800,-1.000000,1.000000,0.000000,"Temp Down","Precip Up"
,1.000000,"CPV6","Peromyscusmaniculatus",37.708810,-120.221210,19.000000,"CPV6",0.000000,0.000000,"YO",18.000000,-19475.184180,-34167.234750,420.264700,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"CraneFlat1","Peromyscusmaniculatus",37.755589,-119.798050,23.000000,"CraneFlat1",0.000000,0.000000,"YO",22.000000,17768.472040,-28970.769390,1888.713000,-1.000000,-1.000000,-1.000000,"Temp Down","Precip Down"
,1.000000,"DD1","Peromyscusmaniculatus",37.908280,-119.347500,24.000000,"DD1",0.000000,0.000000,"YO",23.000000,57292.663440,-11818.360600,2960.949000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"DeM1","Peromyscusmaniculatus",37.899220,-119.347700,25.000000,"DeM1",0.000000,0.000000,"YO",24.000000,57282.032220,-12825.629870,2865.667000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"ElPortal2","Peromyscusmaniculatus",37.673726,-119.793537,28.000000,"ElPortal2",0.000000,0.000000,"YO",27.000000,18185.363350,-38070.313930,571.839000,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"FD1","Peromyscusmaniculatus",37.876490,-119.416090,31.000000,"FD1",0.000000,0.000000,"YO",30.000000,51291.974680,-15391.560450,2553.576000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"GA1","Peromyscusmaniculatus",37.911700,-119.424950,35.000000,"GA1",0.000000,0.000000,"YO",34.000000,50489.960970,-11482.202040,2371.780000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"GemLake1","Peromyscusmaniculatus",37.758570,-119.159400,36.000000,"GemLake1",0.000000,0.000000,"YO",35.000000,73955.928920,-28330.446110,2781.719000,-1.000000,-1.000000,-1.000000,"Temp Down","Precip Down"
,1.000000,"GlenAulin1","Peromyscusmaniculatus",37.912060,-119.421350,37.000000,"GlenAulin1",0.000000,0.000000,"YO",36.000000,50805.796380,-11440.259530,2383.204000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"HG1","Peromyscusmaniculatus",37.765250,-119.862330,40.000000,"HG1",0.000000,0.000000,"YO",39.000000,12111.273050,-27906.918740,1678.460000,-1.000000,1.000000,0.000000,"Temp Down","Precip Up"
,1.000000,"HM1","Peromyscusmaniculatus",37.796110,-119.867810,41.000000,"HM1",0.000000,0.000000,"YO",40.000000,11624.396890,-24477.001500,1423.929000,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"IC1","Peromyscusmaniculatus",37.777160,-119.566745,42.000000,"IC1",0.000000,0.000000,"YO",41.000000,38108.667350,-26504.641670,2223.218000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"IndianCanyon1","Peromyscusmaniculatus",37.774320,-119.569020,43.000000,"IndianCanyon1",0.000000,0.000000,"YO",42.000000,37909.997220,-26821.264050,2195.465000,-1.000000,-1.000000,-1.000000,"Temp Down","Precip Down"
,1.000000,"KM1","Peromyscusmaniculatus",38.122007,-119.481950,45.000000,"KM1",0.000000,0.000000,"YO",44.000000,45357.610170,11867.696370,2867.498000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"LaGrange1","Peromyscusmaniculatus",37.666100,-120.469857,46.000000,"LaGrange1",0.000000,0.000000,"YO",45.000000,-41389.302010,-38835.308590,52.148530,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"LAHistoricBattleCreek","Peromyscusmaniculatus",40.350300,-122.177300,47.000000,"LAHistoricBattleCreek",0.000000,0.000000,"LA",46.000000,-184930.377600,261490.941200,102.971300,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"LAHistoricBlackButte","Peromyscusmaniculatus",40.414700,-121.531900,48.000000,"LAHistoricBlackButte",0.000000,0.000000,"LA",47.000000,-130003.133700,267569.623800,1979.420000,-1.000000,-1.000000,-1.000000,"Temp Down","Precip Down"
,1.000000,"LAHistoricButteLake","Peromyscusmaniculatus",40.564900,-121.303400,49.000000,"LAHistoricButteLake",0.000000,0.000000,"LA",48.000000,-110383.752000,283957.078000,1859.799000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"LAHistoricDalesPayneCreek","Peromyscusmaniculatus",40.314600,-122.069500,50.000000,"LAHistoricDalesPayneCreek",0.000000,0.000000,"LA",49.000000,-175862.345600,257321.988500,186.013900,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"LAHistoricEagleLake1","Peromyscusmaniculatus",40.734800,-120.719900,51.000000,"LAHistoricEagleLake1",0.000000,0.000000,"LA",50.000000,-60825.770100,302293.148800,1584.961000,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"LAHistoricEagleLake2","Peromyscusmaniculatus",40.657500,-120.775200,52.000000,"LAHistoricEagleLake2",0.000000,0.000000,"LA",51.000000,-65568.247250,293748.058300,1567.822000,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"LAHistoricEagleLake3","Peromyscusmaniculatus",40.568100,-120.837100,53.000000,"LAHistoricEagleLake3",0.000000,0.000000,"LA",52.000000,-70891.406970,283866.590700,1562.097000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"LAHistoricHotSpringValley","Peromyscusmaniculatus",40.442300,-121.393800,54.000000,"LAHistoricHotSpringValley",0.000000,0.000000,"LA",53.000000,-118239.246300,270453.469100,1727.630000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
