"FID_","presence","aggname","species","LAT","LONG_","UID","AGGNAME_1","LAT_1","LONG_1","REGION","MASK","X","Y","SRTMV4","BIO1_PRDCT","BIO12_PRDC","Same","Elev_Temp","Elev_Preci"
,1.000000,"CF3","Zapusprinceps",37.757750,-119.769900,8.000000,"CF3",0.000000,0.000000,"YO",7.000000,20244.648430,-28724.895480,2096.169000,-1.000000,-1.000000,-1.000000,"Temp Down","Precip Down"
,1.000000,"Chinquapin1","Zapusprinceps",37.652364,-119.702601,10.000000,"Chinquapin1",0.000000,0.000000,"YO",9.000000,26202.478170,-40423.749880,1844.729000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"DL1","Zapusprinceps",38.172967,-119.594753,26.000000,"DL1",0.000000,0.000000,"YO",25.000000,35457.053860,17484.555350,2863.963000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"GA1","Zapusprinceps",37.911700,-119.424950,35.000000,"GA1",0.000000,0.000000,"YO",34.000000,50489.960970,-11482.202040,2371.780000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"GM1","Zapusprinceps",38.162540,-119.604610,38.000000,"GM1",0.000000,0.000000,"YO",37.000000,34599.455490,16321.801630,2744.549000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"HM1","Zapusprinceps",37.796110,-119.867810,41.000000,"HM1",0.000000,0.000000,"YO",40.000000,11624.396890,-24477.001500,1423.929000,1.000000,1.000000,1.000000,"Temp Up","Precip Up"
,1.000000,"IC1","Zapusprinceps",37.777160,-119.566745,42.000000,"IC1",0.000000,0.000000,"YO",41.000000,38108.667350,-26504.641670,2223.218000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"IndianCanyon1","Zapusprinceps",37.774320,-119.569020,43.000000,"IndianCanyon1",0.000000,0.000000,"YO",42.000000,37909.997220,-26821.264050,2195.465000,-1.000000,-1.000000,-1.000000,"Temp Down","Precip Down"
,1.000000,"KM1","Zapusprinceps",38.122007,-119.481950,45.000000,"KM1",0.000000,0.000000,"YO",44.000000,45357.610170,11867.696370,2867.498000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"LAHistoricBlackButte","Zapusprinceps",40.414700,-121.531900,48.000000,"LAHistoricBlackButte",0.000000,0.000000,"LA",47.000000,-130003.133700,267569.623800,1979.420000,-1.000000,-1.000000,-1.000000,"Temp Down","Precip Down"
,1.000000,"LAHistoricKellys2","Zapusprinceps",40.433100,-121.356700,55.000000,"LAHistoricKellys2",0.000000,0.000000,"LA",54.000000,-115106.805400,269386.259500,1610.507000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"LAHistoricMineral3","Zapusprinceps",40.347900,-121.623000,61.000000,"LAHistoricMineral3",0.000000,0.000000,"LA",60.000000,-137860.497300,260280.849500,1465.035000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
,1.000000,"LAHistoricMineralSummitCreek2","Zapusprinceps",40.362800,-121.566300,63.000000,"LAHistoricMineralSummitCreek2",0.000000,0.000000,"LA",62.000000,-133017.408400,261854.375300,1546.531000,1.000000,-1.000000,0.000000,"Temp Up","Precip Down"
