family	species
Acanthisittidae	4
Accipitridae	240
Aegithalidae	8
Aegothelidae	8
Alaudidae	91
Alcedinidae	24
Anatidae	148
Anhimidae	3
Anhingidae	4
Anseranatidae	1
Apodidae	99
Apterygidae	3
Ardeidae	65
Batrachostomidae	11
Bombycillidae	8
Bucconidae	33
Bucerotidae	54
Bucorvidae	2
Burhinidae	9
Caprimulgidae	76
Cariamidae	2
Casuariidae	4
Centropidae	30
Certhiidae	97
Cerylidae	9
Charadriidae	89
Chionididae	2
Ciconiidae	26
Cinclidae	5
Cisticolidae	119
Climacteridae	7
Coccyzidae	18
Coliidae	6
Columbidae	310
Conopophagidae	8
Coraciidae	12
Corvidae	647
Cracidae	50
Crotophagidae	4
Cuculidae	79
Dacelonidae	61
Dendrocygnidae	9
Eopsaltriidae	46
Eurostopodidae	7
Eurylaimidae	14
Eurypygidae	1
Falconidae	63
Formicariidae	56
Fregatidae	5
Fringillidae	993
Furnariidae	280
Galbulidae	18
Gaviidae	5
Glareolidae	18
Gruidae	15
Heliornithidae	4
Hemiprocnidae	4
Hirundinidae	89
Indicatoridae	17
Irenidae	10
Jacanidae	8
Laniidae	30
Laridae	129
Leptosomidae	1
Lybiidae	42
Maluridae	26
Megalaimidae	26
Megapodiidae	19
Melanocharitidae	10
Meliphagidae	182
Menuridae	4
Meropidae	26
Momotidae	9
Muscicapidae	449
Musophagidae	23
Nectariniidae	169
Neomorphidae	11
Numididae	6
Nyctibiidae	7
Odontophoridae	6
Opisthocomidae	1
Orthonychidae	2
Otididae	25
Paramythiidae	2
Pardalotidae	68
Paridae	65
Passeridae	386
Pedionomidae	1
Pelecanidae	9
Phaethontidae	3
Phalacrocoracidae	38
Phasianidae	177
Phoenicopteridae	5
Phoeniculidae	5
Picidae	215
Pittidae	31
Podargidae	3
Podicipedidae	21
Pomatostomidae	5
Procellariidae	115
Psittacidae	358
Psophiidae	3
Pteroclidae	16
Ptilonorhynchidae	20
Pycnonotidae	137
Rallidae	142
Ramphastidae	55
Regulidae	6
Rheidae	2
Rhinocryptidae	28
Rhinopomastidae	3
Rhynochetidae	1
Rostratulidae	2
Sagittariidae	1
Scolopacidae	88
Scopidae	1
Sittidae	25
Spheniscidae	17
Steatornithidae	1
Strigidae	161
Struthionidae	1
Sturnidae	148
Sulidae	9
Sylviidae	552
Thamnophilidae	188
Thinocoridae	4
Threskiornithidae	34
Tinamidae	47
Todidae	5
Trochilidae	319
Trogonidae	39
Turnicidae	17
Tyrannidae	537
Tytonidae	17
Upupidae	2
Vireonidae	51
Zosteropidae	96
