sp	size	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
broo	46.11804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	25	0	8	0	0	0	0	11	0	0	0	0	0
calu	41.12897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	5	0	0	5	2	1	1	0	0	0	0	0
dux	57.68864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	0	0	1	0	1	1	6	1	2	0	0	3
gran	98.7392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
hanl	68.28225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hele	81.52526	0	5	2	2	1	0	2	0	0	0	2	0	6	0	0	0	6	7	0	1	2	0	9	3	3	2	4	9	1	2	2	0
leae	53.51931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	12	0	0	0	0	0	0	10	0	0	0	0	0
leon	68.25789	39	7	19	2	57	59	33	6	37	39	29	50	16	11	19	27	1	1	0	1	0	0	0	0	0	1	1	1	0	1	11	0
nasu	40.63693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	2	0	1	6	2	0	3	5	0	0	0	0	0
pant	83.56956	0	0	3	0	0	0	0	0	0	0	0	0	10	0	1	2	8	3	0	0	1	0	11	29	10	9	0	7	1	9	3	11
pian	51.87244	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	0	0	1	0	0	5	1	0	1	0	0	0	1	2
quat	60.08887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	19	2	15	10	3	24	13	8	3	6	6	15	11	0	21
scho	43.25887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	2	0	3	1	3	1	1	0	0	0	0	0	0	0	0	0
sept	53.92943	0	0	0	0	0	2	11	15	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
