svl,tail,hdep,ljl,dtr,hw,nd,hum,ant,man,di4,sha,cru,foo,to4,wpg,dpg
AMPHIBOLURUS_GILBERTI,4.66701630466667,5.63212291416667,2.7407915085,3.520543146,3.26925215,3.0245024085,2.0082292185,2.7729717,2.6543817925,1.91773684,2.31278696083333,3.34184399916667,3.310799675,2.859357253,3.073736799,2.85796181416667,2.85361767233333
AMPHIBOLURUS_LONGIROSTRIS,4.672130036,5.85547396171429,2.743551793,3.58261598642857,3.35090722285714,2.94537352457143,2.05624803328571,2.80124260371429,2.61854602342857,1.92826757857143,2.422127096,3.37855328914286,3.26996561457143,2.82343177685714,3.18338413928571,2.77271390871429,2.78596386128571
AMPHIBOLURUS_MURICATUS,4.449334754,5.117993812,2.522523513,3.338494212,3.089829597,2.934920134,2.000127735,2.578194584,2.287471455,2.018009302,2.102506815,3.002707887,2.835563521,2.492102917,2.788092909,2.823757009,2.584751985
AMPHIBOLURUS_NOBBI,4.2341672166,5.1676407434,2.359531997,3.076341411,2.8778209504,2.685073866,1.8188366994,2.3911053998,2.1858561918,1.6588462676,1.9368325608,2.8193171918,2.7967705886,2.3262057656,2.6701396724,2.4908354244,2.4040973712
AMPHIBOLURUS_NORRISI,4.5306219686,5.2645359054,2.613375882,3.3990314366,3.2160482602,2.9967931612,2.1224784246,2.6511971544,2.4681688656,1.7893199196,2.162946559,3.0941081894,3.0851778404,2.594233877,2.813665092,2.8124922628,2.5834772896
AMPHIBOLURUS_TEMPORALIS,4.54721108233333,5.67040883066667,2.73348199133333,3.44072845466667,3.18506565633333,2.93224802833333,1.90155295566667,2.81067324233333,2.56070553333333,1.803397916,2.411109755,3.28258880366667,3.263732257,2.79317187066667,3.178191014,2.74347587166667,2.87487721666667
CAIMANOPS_AMPHIBOLUROIDES,4.488808751,5.037598415,2.549205049,3.24608735733333,3.06611637733333,2.7943754385,1.85408460833333,2.58896537466667,2.44720525016667,1.80460943183333,2.03616294133333,2.8365521905,2.792391322,2.20001254733333,2.45740252983333,2.7362653065,2.61899196066667
CHELOSANIA_BRUNNEA,4.579031528,5.18178355,2.69304936,3.215135505,3.062144039,2.707383312,1.815367483,2.69912157,2.650891787,1.920348111,2.443216223,2.908175293,2.813610697,2.315172208,2.630208773,2.621281219,2.771755041
CHLAMYDOSAURUS_KINGII,5.3941438085,6.063514719,3.515359414,4.1557161905,3.8919595725,3.839019451,2.6793751415,3.659243602,3.5034077545,2.80000504,3.108204061,4.0603642885,4.004054026,3.523177273,3.4098717005,3.5736735005,3.754041003
RANKINIA_ADELAIDENSIS_ADELAIDENSIS,3.72731708366667,4.26472226566667,1.87263464933333,2.519526836,2.38110431,2.26448393166667,1.34309756266667,1.99623155066667,1.7840775385,0.888200926,1.39184382566667,2.28313452083333,2.30911510166667,1.674225138,1.92805852216667,2.06369516466667,1.89904672033333
