species, region
acutus,4
aeneus,5
agassizi,6
ahli,0
alayoni,0
alfaroi,0
aliniger,1
allisoni,0
allogus,0
altae,6
altitudinalis,0
alumina,1
alutaceus,0
angusticeps,0
annectens,6
aqbl,6
aquaticus,6
argenteolus,0
argillaceus,0
armouri,1
auratus,6
bahorucoensis,1
baleatus,1
baracoae,0
barahonae,1
barbatus,0
barbouri,1
bartschi,0
bicaorum,6
bigblue,6
bimaculatus,5
biporcatus,6
bitectus,6
bremeri,0
breslini,1
brevirostris,1
brunneus,4
capito,6
carolinensis,6
carpenteri,6
casildae,6
caudalis,1
centralis,0
chamaeleonides,0
chlorocyanus,1
christophei,1
clivicola,0
coelestinus,1
confusus,0
conspersus,4
cooki,3
crassulus,6
cristatellus,3
cupeyalensis,0
cupreus,6
cuvieri,3
cyanopleurus,0
cybotes,1
darlingtoni,1
desechensis,4
distichus,1
dolichocephalus,1
equestris,0
ernestwilliamsi,4
etheridgei,1
eugenegrahami,1
evermanni,3
ferreus,5
fowleri,1
frenatus,6
fuscoauratus,6
garmani,2
garridoi,0
gingivinus,5
grahami,2
griseus,5
guafe,0
guamuhaya,0
guazuma,0
gundlachi,3
haetianus,1
hendersoni,1
heteroderma,6
homolechis,0
humilis,6
imias,0
inderanae,6
inexpectatus,0
insolitus,1
intermedius,6
isolepis,0
isthmicus,6
jubar,0
krugi,3
laeviventris,6
leachi,5
lemurinus,6
limifrons,6
lineatopus,2
lineatus,6
lionotus,6
lividus,5
longiceps,4
longitibialis,1
loveridgei,6
loysiana,0
luciae,5
lucius,0
luteogularis,0
macilentus,0
marcanoi,1
marmoratus,5
marron,1
maynardi,4
meridionalis,6
mestrei,0
microtus,6
monensis,4
monticola,1
nebuloides,6
nicefori,6
nitens,6
noblei,0
nubilus,5
occultus,3
oculatus,5
olssoni,1
onca,6
opalinus,2
ophiolepis,0
oporinus,0
ortonii,6
oscelloscapularis,6
oxylophus,6
pachypus,6
pandoensis,6
paternus,0
placidus,1
poecilopus,6
pogus,5
polylepis,6
polyrhachis,6
poncensis,3
porcatus,0
porcus,0
pulchellus,3
pumilis,0
punctatus,6
purpurgularis,6
quadriocellifer,0
quercorum,6
reconditus,2
rejectus,0
richardi,5
ricordii,1
roquet,5
rubribarbus,0
sabanus,5
sagrei,0
schwartzi,4
scriptus,4
semilineatus,1
sericeus,6
sheplani,1
shrevei,1
singularis,1
smallwoodi,0
smaragdinus,4
sminthus,6
strahmi,1
stratulus,3
trachyderma,6
tranquillus,1
transversalis,6
trinitatus,5
tropidogaster,6
tropidonotus,6
uniformis,6
utilensis,6
valencienni,2
vanidicus,0
vermiculatus,0
wattsi,5
websteri,1
whitemani,1
woodi,6
zeus,6
