clade	sp	sp_in_tree	age	rate	size_rate	shape_rate	disparity	representative	index	gamma	gamma.pval	gamma.ses	lh.cr	lh.vr	aic.cr	aic.vr	cr.lam0	vr.lam0	vr.k
(1) Desmognathus and Phaeognathus	37	12	36.9	0.07343	0.03865	0.00072	1.04483	Phaeognathus_hubrichti	1	-1.900802117	0.156843157	-1.053685608	-42.53791615	-42.3182638	87.0758323	88.6365276	0.090640902	0.071566851	0.017079375
(2) Aneides	6	5	30.4	0.0322	0.01056	0.00027	0.33346	Aneides_aeneus	2	-1.372767462	0.028971029	-2.000910296	-17.23319645	-15.34344812	36.4663929	34.68689624	0.040496909	0.005722492	0.117628598
(3) Western Plethodon	9	6	30.5	0.04435	0.00423	0.00027	0.10406	Plethodon_elongatus	3	-1.397830447	0.072927073	-1.532372286	-21.27115115	-19.06780474	44.54230231	42.13560948	0.047145202	0.005893363	0.116751097
(4) P. cinereus group	10	7	18.1	0.08047	0.00615	0.00061	0.12927	Plethodon_serratus	4	-1.532297612	0.050949051	-1.693032577	-21.19878524	-19.87276831	44.39757048	43.74553661	0.09521622	0.032615532	0.126241928
(5) P. wehrlei-welleri group	7	6	19.9	0.05621	0.01385	0.00025	0.4988	Plethodon_wehrlei	5	-0.986638729	0.076923077	-1.565185084	-18.73036731	-17.48033688	39.46073462	38.96067376	0.069783058	0.020035535	0.125476416
(6) P. glutinosus group	28	18	15.7	0.15849	0.01679	0.00062	0.206	Plethodon_yonahlossee	6	-2.484786745	0.015984016	-2.284304925	-53.9754934	-50.86756256	109.9509868	105.7351251	0.138299405	0.051843951	0.139070998
"(7) Gyrinophilus, Pseudotriton and Stereochilus"	7	4	23.4	0.03487	0.01565	0.00036	0.50082	Pseudotriton_ruber	7	-2.167282799	0.003996004	-2.250424132	-12.73343023	-6.861222226	27.46686046	17.72244445	0.05135076	1.88E-07	0.669533863
(8) Eurycea	36	17	22.7	0.10472	0.09287	0.00205	0.94043	Eurycea_multiplicata	8	-0.915018236	0.415584416	-0.226517595	-58.43360637	-58.03804912	118.8672127	120.0760982	0.121225435	0.088305671	0.033424782
(9) Nototriton	13	5	13.5	0.12685	0.01509	0.00172	0.30909	Nototriton_abscondens	9	-0.365940418	0.44955045	-0.113582808	-13.29503037	-12.98453619	28.59006074	29.96907237	0.153508636	0.076967141	0.100384172
(10) Oedipina	25	10	18	0.12946	0.02155	0.00157	0.46246	Oedipina_savagei	10	-1.740584899	0.113886114	-1.250124729	-30.71073072	-29.04658454	63.42146144	62.09316907	0.130504354	0.044514825	0.1221181
(11) Chiropterotriton	12	7	16.6	0.0976	0.0489	0.00043	0.7382	Chiropterotriton_arboreus	11	-2.467529596	0.003996004	-2.4154743	-21.59621815	-17.24545234	45.19243629	38.49090469	0.095087844	0.005420659	0.292033082
(12) Pseudoeurycea clade	51	32	27.6	0.10717	0.05166	0.00231	0.77938	Ixalotriton_niger	12	-2.034194933	0.071928072	-1.480689759	-106.5650334	-105.2367747	215.1300668	214.4735493	0.107654267	0.073150252	0.040079539
"(13) Bolitoglossa, subgenus Eladinea"	46	15	16.3	0.17988	0.02225	0.00072	0.31299	Bolitoglossa_adspersa	13	-2.69467699	0.036963037	-1.797306491	-43.23722933	-42.07329879	88.47445867	88.14659758	0.190451833	0.110351883	0.080921758
"(14) Bolitoglossa, subgenera Magnadigita, Oaxakia and Pachymandra"	25	19	19.4	0.12069	0.02981	0.00079	0.48221	Bolitoglossa_dofleini	14	-2.648585957	0.004995005	-2.606754782	-59.98280266	-56.92917285	121.9656053	117.8583457	0.110474417	0.046795341	0.107483173
"(15) Bolitoglossa, subgenera Bolitoglossa, Mayamandra and Nanotriton"	17	10	18.8	0.10435	0.01832	0.00083	0.49546	Bolitoglossa_flaviventris	15	-1.829583918	0.057942058	-1.682398015	-31.00334993	-29.51702175	64.00669985	63.0340435	0.11089753	0.045564076	0.103055242
