species	site	trap	date	sex	weight	snout_vent
helenae	8	A	08-Apr-06	NA	1.8	52
helenae	2	A	08-Apr-06	M	3.4	57
leonhardii	11	A	08-Apr-06	M	7	71
schomburgkii	1	B	08-Apr-06	NA	0.7	31
ariadnae	5	B	08-Apr-06	NA	1.1	38
leonhardii	15	B	08-Apr-06	M	2.3	50
pantherinus	1	B	08-Apr-06	M	3.6	56
pantherinus	7	C	08-Apr-06	NA	0.9	35
schomburgkii	15	C	08-Apr-06	F	1.5	42
pantherinus	15	C	08-Apr-06	NA	2.5	49
leonhardii	11	C	08-Apr-06	F	6.6	71
leonhardii	11	E	08-Apr-06	NA	0.7	39
pantherinus	16	E	08-Apr-06	NA	0.8	35
leonhardii	11	E	08-Apr-06	F	2.4	56
leonhardii	12	F	08-Apr-06	NA	1.5	40
helenae	7	F	08-Apr-06	NA	1.8	48
leonhardii	15	G	08-Apr-06	NA	1	37
leonhardii	11	G	08-Apr-06	M	6.8	68
pantherinus	17	H	08-Apr-06	NA	0.8	33
leonhardii	13	H	08-Apr-06	NA	1.2	42
uber	15	I	08-Apr-06	NA	1.1	42
leonhardii	5	I	08-Apr-06	M	2.9	52
uber	15	I	08-Apr-06	M	5.4	62
leonhardii	11	I	08-Apr-06	F	5.5	63
leonhardii	11	J	08-Apr-06	F	6.5	69
pantherinus	2	J	08-Apr-06	F	11.6	79
uber	15	K	08-Apr-06	M	1.7	47
helenae	7	K	08-Apr-06	F	2.6	51
leonhardii	12	L	08-Apr-06	NA	0.8	38
uber	10	A	09-Apr-06	NA	1.1	39
helenae	7	A	09-Apr-06	F	1.8	48
leonhardii	13	B	09-Apr-06	NA	1.1	40
schomburgkii	10	B	09-Apr-06	M	1.4	42
leonhardii	14	B	09-Apr-06	NA	1.6	23
leonhardii	3	B	09-Apr-06	F	2.7	53
leonhardii	11	B	09-Apr-06	M	7.2	65
pantherinus	24	C	09-Apr-06	NA	0.7	32
pantherinus	24	C	09-Apr-06	M	2.2	47
leonhardii	5	C	09-Apr-06	M	2.4	49
leonhardii	15	C	09-Apr-06	M	6.3	63
helenae	7	D	09-Apr-06	F	1	37
schomburgkii	17	E	09-Apr-06	NA	0.2	25
leonhardii	14	E	09-Apr-06	NA	0.9	39
schomburgkii	16	E	09-Apr-06	NA	0.9	37
leonhardii	11	E	09-Apr-06	M	3.2	53
schomburgkii	14	F	09-Apr-06	NA	0.4	26
uber	15	F	09-Apr-06	NA	1.8	46
pantherinus	16	H	09-Apr-06	NA	0.9	36
leonhardii	15	H	09-Apr-06	F	1.2	41
helenae	9	H	09-Apr-06	NA	3.6	58
calurus	7	I	09-Apr-06	NA	0.4	30
schomburgkii	14	I	09-Apr-06	NA	0.4	26
schomburgkii	14	I	09-Apr-06	M	0.7	34
pantherinus	24	I	09-Apr-06	NA	0.9	34
leonhardii	11	I	09-Apr-06	M	3.7	59
uber	15	I	09-Apr-06	F	6.1	65
pantherinus	23	I	09-Apr-06	F	7.5	42
uber	15	K	09-Apr-06	M	2.6	52
uber	15	K	09-Apr-06	M	3.2	54
leonhardii	13	K	09-Apr-06	M	4	57
leonhardii	12	L	09-Apr-06	NA	0.8	37
pantherinus	24	L	09-Apr-06	NA	1.1	37
leonhardii	15	L	09-Apr-06	F	1.9	47
pantherinus	16	L	09-Apr-06	F	4.6	60
leonhardii	12	A	10-Apr-06	NA	1.2	38
leonhardii	3	A	10-Apr-06	M	2.8	53
pantherinus	23	B	10-Apr-06	NA	1.2	36
leonhardii	14	B	10-Apr-06	F?	2.2	48
pantherinus	1	C	10-Apr-06	F	3.2	57
leonhardii	13	D	10-Apr-06	NA	1.7	43
leonhardii	11	D	10-Apr-06	NA	1.9	48
helenae	7	D	10-Apr-06	M	2	48
pantherinus	24	D	10-Apr-06	F	3.2	50
pantherinus	21	E	10-Apr-06	NA	0.5	36
helenae	12	E	10-Apr-06	M	1.5	46
pantherinus	21	E	10-Apr-06	M	5.7	60
leonhardii	15	F	10-Apr-06	NA	0.8	36
leonhardii	24	G	10-Apr-06	NA	0.7	35
quattuordecimlineatus	17	G	10-Apr-06	NA	0.8	35
ariadnae	1	G	10-Apr-06	M	1.1	41
ariadnae	1	H	10-Apr-06	NA	0.3	26
schomburgkii	14	H	10-Apr-06	F	1	39
leonhardii	13	H	10-Apr-06	F	1.8	46
leonhardii	10	H	10-Apr-06	NA	2.2	51
schomburgkii	24	I	10-Apr-06	NA	0.3	27
helenae	1	I	10-Apr-06	F	2.1	49
uber	15	I	10-Apr-06	M	3.8	56
leonhardii	11	I	10-Apr-06	F	7	72
leonhardii	13	I	10-Apr-06	NA	NA	41
schomburgkii	13	J	10-Apr-06	M	0.9	34
leonhardii	11	J	10-Apr-06	M	2	48
leonhardii	5	J	10-Apr-06	F	2.2	48
pantherinus	17	K	10-Apr-06	NA	0.7	34
schomburgkii	14	K	10-Apr-06	F	1.2	40
schomburgkii	14	K	10-Apr-06	F	1.4	43
leonhardii	13	K	10-Apr-06	M	2.6	49
pantherinus	3	L	10-Apr-06	NA	1.3	40
schomburgkii	15	L	10-Apr-06	F	1.4	45
helenae	1	A	11-Apr-06	M	2.2	49
schomburgkii	3	B	11-Apr-06	NA	0.3	24
schomburgkii	14	B	11-Apr-06	M	0.6	36
pantherinus	24	B	11-Apr-06	NA	0.7	33
leonhardii	5	B	11-Apr-06	NA	1.3	42
helenae	7	D	11-Apr-06	F	1.7	45
leonhardii	11	D	11-Apr-06	M	3.3	56
uber	12	E	11-Apr-06	NA	0.9	39
ariadnae	2	E	11-Apr-06	M	1.3	41
helenae	16	E	11-Apr-06	M	1.5	41
schomburgkii	10	I	11-Apr-06	M	0.8	36
ariadnae	24	I	11-Apr-06	NA	1.2	42
helenae	2	I	11-Apr-06	F	1.9	49
uber	15	I	11-Apr-06	M	2.8	50
pantherinus	21	J	11-Apr-06	M	9.4	71
schomburgkii	15	B	12-Apr-06	NA	0.3	29
quattuordecimlineatus	17	B	12-Apr-06	M	2	47
leonhardii	14	B	12-Apr-06	M	3.8	57
leonhardii	3	C	12-Apr-06	F	2.7	51
leonhardii	11	C	12-Apr-06	F	3.2	54
leonhardii	11	C	12-Apr-06	F	6.9	72
leonhardii	15	D	12-Apr-06	NA	1.2	41
pantherinus	21	E	12-Apr-06	NA	1.7	44
leonhardii	11	F	12-Apr-06	NA	0.4	31
schomburgkii	14	F	12-Apr-06	F	1.9	44
schomburgkii	13	G	12-Apr-06	NA	0.7	33
pantherinus	17	H	12-Apr-06	NA	0.8	35
schomburgkii	15	J	12-Apr-06	M	1.1	37
leonhardii	15	J	12-Apr-06	M	1.6	45
uber	14	J	12-Apr-06	F	2.3	48
leonhardii	12	K	12-Apr-06	F	0.6	30
leonhardii	11	K	12-Apr-06	M	1.3	43
leonhardii	13	K	12-Apr-06	M	1.5	43
uber	15	K	12-Apr-06	M	3.5	56
leonhardii	5	K	12-Apr-06	F	3.9	59
pantherinus	16	K	12-Apr-06	F	4.3	58
